BINARY is ECSO_00000318 ObjectProperty
BINARY SubClassOf ECSO_00002419 ECSO_00001804
BINARY is ECSO_00002420 Class
BINARY SubClassOf ECSO_00002420 ECSO_00001804
BINARY is ECSO_00002462 Class
BINARY SubClassOf ECSO_00002462 ECSO_00002329
BINARY is ECSO_00002495 Class
BINARY SubClassOf ECSO_00002495 ECSO_00002351
BINARY is ECSO_00002496 Class
BINARY SubClassOf ECSO_00002496 ECSO_00002352
BINARY is ECSO_00002516 Class
BINARY SubClassOf ECSO_00002516 ECSO_00002932
BINARY is ECSO_00002577 Class
BINARY SubClassOf ECSO_00002577 ECSO_00001116
BINARY is ECSO_00002592 Class
BINARY SubClassOf ECSO_00002592 ECSO_00001760
BINARY is ECSO_00002595 Class
BINARY SubClassOf ECSO_00002595 ECSO_00001760
BINARY is ECSO_00002603 Class
BINARY SubClassOf ECSO_00002603 ECSO_00001800
BINARY is ECSO_00002604 Class
BINARY SubClassOf ECSO_00002604 ECSO_00002605
BINARY is ECSO_00002605 Class
BINARY SubClassOf ECSO_00002605 ECSO_00002603
BINARY is ECSO_00002606 Class
BINARY SubClassOf ECSO_00002606 ECSO_00002603
BINARY is ECSO_00002701 Class
BINARY SubClassOf ECSO_00002701 ECSO_00002156
BINARY is ECSO_00002708 Class
BINARY SubClassOf ECSO_00002708 ECSO_00001806
BINARY is ECSO_00002709 Class
BINARY SubClassOf ECSO_00002709 ECSO_00001806
BINARY is ECSO_00002762 Class
BINARY SubClassOf ECSO_00002762 ECSO_00001804
BINARY is ECSO_00002770 Class
BINARY SubClassOf ECSO_00002770 ECSO_00003109
BINARY is ECSO_00002773 Class
BINARY SubClassOf ECSO_00002773 ECSO_00001883
BINARY is ECSO_00002774 Class
BINARY SubClassOf ECSO_00002774 ECSO_00002216
BINARY is ECSO_00002775 Class
BINARY SubClassOf ECSO_00002775 ECSO_00002516
BINARY is ECSO_00002778 Class
BINARY SubClassOf ECSO_00002778 ECSO_00003005
BINARY is ECSO_00002787 Class
BINARY SubClassOf ECSO_00002787 ECSO_00002328
BINARY is ECSO_00002794 Class
BINARY SubClassOf ECSO_00002794 ECSO_00001883
BINARY is ECSO_00002806 Class
BINARY SubClassOf ECSO_00002806 ECSO_00003109
BINARY is ECSO_00002807 Class
BINARY SubClassOf ECSO_00002807 ECSO_00001818
BINARY is ECSO_00002808 Class
BINARY SubClassOf ECSO_00002808 ECSO_00002016
BINARY is ECSO_00002809 Class
BINARY SubClassOf ECSO_00002809 ECSO_00003109
BINARY is ECSO_00002811 Class
BINARY SubClassOf ECSO_00002811 ECSO_00001816
BINARY is ECSO_00002812 Class
BINARY SubClassOf ECSO_00002812 ECSO_00001974
BINARY is ECSO_00002816 Class
BINARY SubClassOf ECSO_00002816 ECSO_00000520
BINARY is ECSO_00002820 Class
BINARY SubClassOf ECSO_00002820 ECSO_00002005
BINARY is ECSO_00002823 Class
BINARY SubClassOf ECSO_00002823 ECSO_00002317
BINARY is ECSO_00002824 Class
BINARY SubClassOf ECSO_00002824 ECSO_00002007
BINARY is ECSO_00002825 Class
BINARY SubClassOf ECSO_00002825 ECSO_00003109
BINARY is ECSO_00002832 Class
BINARY SubClassOf ECSO_00002832 ECSO_00001806
BINARY is ECSO_00002833 Class
BINARY SubClassOf ECSO_00002833 ECSO_00002867
BINARY is ECSO_00002834 Class
BINARY SubClassOf ECSO_00002834 ECSO_00003109
BINARY is ECSO_00002836 Class
BINARY SubClassOf ECSO_00002836 ECSO_00003109
BINARY is ECSO_00002837 Class
BINARY SubClassOf ECSO_00002837 ECSO_00003109
BINARY is ECSO_00002838 Class
BINARY SubClassOf ECSO_00002838 ECSO_00001814
BINARY is ECSO_00002841 Class
BINARY SubClassOf ECSO_00002841 ECSO_00001814
BINARY is ECSO_00002844 Class
BINARY SubClassOf ECSO_00002844 ECSO_00002022
BINARY is ECSO_00002849 Class
BINARY SubClassOf ECSO_00002849 ECSO_00003109
BINARY is ECSO_00002852 Class
BINARY SubClassOf ECSO_00002852 ECSO_00002216
BINARY is ECSO_00002856 Class
BINARY SubClassOf ECSO_00002856 ECSO_00001883
BINARY is ECSO_00002857 Class
BINARY SubClassOf ECSO_00002857 ECSO_00002928
BINARY is ECSO_00002858 Class
BINARY SubClassOf ECSO_00002858 ECSO_00001868
BINARY is ECSO_00002859 Class
BINARY SubClassOf ECSO_00002859 ECSO_00002603
BINARY is ECSO_00002861 Class
BINARY SubClassOf ECSO_00002861 ECSO_00001669
BINARY is ECSO_00002862 Class
BINARY SubClassOf ECSO_00002862 ECSO_00001669
BINARY is ECSO_00002864 Class
BINARY SubClassOf ECSO_00002864 ECSO_00001868
BINARY is ECSO_00002865 Class
BINARY SubClassOf ECSO_00002865 ECSO_00001800
BINARY is ECSO_00002866 Class
BINARY SubClassOf ECSO_00002866 ECSO_00002603
BINARY is ECSO_00002867 Class
BINARY SubClassOf ECSO_00002867 ECSO_00003109
BINARY is ECSO_00002868 Class
BINARY SubClassOf ECSO_00002868 ECSO_00002867
BINARY is ECSO_00002869 Class
BINARY SubClassOf ECSO_00002869 ECSO_00000611
BINARY is ECSO_00002879 Class
BINARY SubClassOf ECSO_00002879 ECSO_00001760
BINARY is ECSO_00002880 Class
BINARY SubClassOf ECSO_00002880 ECSO_00002255
BINARY is ECSO_00002883 Class
BINARY SubClassOf ECSO_00002883 ECSO_00002322
BINARY is ECSO_00002884 Class
BINARY SubClassOf ECSO_00002884 ECSO_00001974
BINARY is ECSO_00002889 Class
BINARY SubClassOf ECSO_00002889 ECSO_00002516
BINARY is ECSO_00002911 Class
BINARY SubClassOf ECSO_00002911 ECSO_00002794
BINARY is ECSO_00002912 Class
BINARY SubClassOf ECSO_00002912 ECSO_00001883
BINARY is ECSO_00002919 Class
BINARY SubClassOf ECSO_00002919 ECSO_00002242
BINARY is ECSO_00002924 Class
BINARY SubClassOf ECSO_00002924 ECSO_00001883
BINARY is ECSO_00002925 Class
BINARY SubClassOf ECSO_00002925 ECSO_00001883
BINARY is ECSO_00002926 Class
BINARY SubClassOf ECSO_00002926 ECSO_00001868
BINARY is ECSO_00002927 Class
BINARY SubClassOf ECSO_00002927 ECSO_00001762
BINARY is ECSO_00002928 Class
BINARY SubClassOf ECSO_00002928 ECSO_00001768
BINARY is ECSO_00002929 Class
BINARY SubClassOf ECSO_00002929 ECSO_00001792
BINARY is ECSO_00002930 Class
BINARY SubClassOf ECSO_00002930 ECSO_00001999
BINARY is ECSO_00002931 Class
BINARY SubClassOf ECSO_00002931 ECSO_00001786
BINARY is ECSO_00002932 Class
BINARY SubClassOf ECSO_00002932 ECSO_00003109
BINARY is ECSO_00002933 Class
BINARY SubClassOf ECSO_00002933 ECSO_00001883
BINARY is ECSO_00002934 Class
BINARY SubClassOf ECSO_00002934 ECSO_00001246
BINARY is ECSO_00002960 Class
BINARY SubClassOf ECSO_00002960 ECSO_00002928
BINARY is ECSO_00002962 Class
BINARY SubClassOf ECSO_00002962 ECSO_00002257
BINARY is ECSO_00002963 Class
BINARY SubClassOf ECSO_00002963 ECSO_00002329
BINARY is ECSO_00002964 Class
BINARY SubClassOf ECSO_00002964 ECSO_00002866
BINARY is ECSO_00002965 Class
BINARY SubClassOf ECSO_00002965 ECSO_00002868
BINARY is ECSO_00002966 Class
BINARY SubClassOf ECSO_00002966 ECSO_00002603
BINARY is ECSO_00002970 Class
BINARY SubClassOf ECSO_00002970 ECSO_00002096
BINARY is ECSO_00002977 Class
BINARY SubClassOf ECSO_00002977 ECSO_00001870
BINARY is ECSO_00002978 Class
BINARY SubClassOf ECSO_00002978 ECSO_00001883
BINARY is ECSO_00002979 Class
BINARY SubClassOf ECSO_00002979 ECSO_00001246
BINARY is ECSO_00002980 Class
BINARY SubClassOf ECSO_00002980 ECSO_00001246
BINARY is ECSO_00002984 Class
BINARY SubClassOf ECSO_00002984 ECSO_00002603
BINARY is ECSO_00002994 Class
BINARY SubClassOf ECSO_00002994 ECSO_00002242
BINARY is ECSO_00002995 Class
BINARY SubClassOf ECSO_00002995 ECSO_00001798
BINARY is ECSO_00003001 Class
BINARY SubClassOf ECSO_00003001 ECSO_00002516
BINARY is ECSO_00003002 Class
BINARY SubClassOf ECSO_00003002 ECSO_00002516
BINARY is ECSO_00003003 Class
BINARY SubClassOf ECSO_00003003 ECSO_00002516
BINARY is ECSO_00003005 Class
BINARY SubClassOf ECSO_00003005 ECSO_00002516
BINARY is ECSO_00003006 Class
BINARY SubClassOf ECSO_00003006 ECSO_00003005
BINARY is ECSO_00003007 Class
BINARY SubClassOf ECSO_00003007 ECSO_00002516
BINARY is ECSO_00003008 Class
BINARY SubClassOf ECSO_00003008 ECSO_00002516
BINARY is ECSO_00003009 Class
BINARY SubClassOf ECSO_00003009 ECSO_00003005
BINARY is ECSO_00003010 Class
BINARY SubClassOf ECSO_00003010 ECSO_00002516
BINARY is ECSO_00003011 Class
BINARY SubClassOf ECSO_00003011 ECSO_00003013
BINARY is ECSO_00003012 Class
BINARY SubClassOf ECSO_00003012 ECSO_00002516
BINARY is ECSO_00003013 Class
BINARY SubClassOf ECSO_00003013 ECSO_00002516
BINARY is ECSO_00003048 Class
BINARY SubClassOf ECSO_00003048 ECSO_00002516
BINARY is ECSO_00003049 Class
BINARY SubClassOf ECSO_00003049 ECSO_00003109
BINARY is ECSO_00003050 Class
BINARY SubClassOf ECSO_00003050 ECSO_00003048
BINARY is ECSO_00003087 Class
BINARY SubClassOf ECSO_00003087 ECSO_00001925
BINARY is ECSO_00003092 Class
BINARY SubClassOf ECSO_00003092 ECSO_00003098
BINARY is ECSO_00003098 Class
BINARY SubClassOf ECSO_00003098 ECSO_00002849
BINARY is ECSO_00003099 Class
BINARY SubClassOf ECSO_00003099 ECSO_00003098
BINARY is ECSO_00003100 Class
BINARY SubClassOf ECSO_00003100 ECSO_00002849
BINARY is ECSO_00003101 Class
BINARY SubClassOf ECSO_00003101 ECSO_00002849
BINARY is ECSO_00003109 Class
BINARY SubClassOf ECSO_00003109 ECSO_00000512
BINARY is ECSO_00003196 Class
BINARY SubClassOf ECSO_00003196 ECSO_00000565
BINARY is www.w3.org/2002/07/# Class
