BINARY is HIO_0000422 ObjectProperty
BINARY is R9eYvi4bRAczvG17LjlZPEo Class
BINARY SubClassOf R9eYvi4bRAczvG17LjlZPEo HIO_0000073
BINARY is RCcwbqSliRjkVkwuHOq8jMm Class
BINARY SubClassOf RCcwbqSliRjkVkwuHOq8jMm HIO_0000141
BINARY is RDbm6Ys3FxMphsiTzUS2XkS Class
BINARY SubClassOf RDbm6Ys3FxMphsiTzUS2XkS HIO_0000067
BINARY is RDzs8GPbRFzv0UfnQTPWvup Class
BINARY SubClassOf RDzs8GPbRFzv0UfnQTPWvup HIO_0000056
BINARY is RLMBOe8KzGmJ8zGk2aiHmV Class
BINARY SubClassOf RLMBOe8KzGmJ8zGk2aiHmV HIO_0000056
BINARY is RwXjmeAcgDaNcHY0cEnso3 Class
BINARY SubClassOf RwXjmeAcgDaNcHY0cEnso3 R9EhfyaMJXGJhPlJPPjFprA
BINARY is RxEmFR2NDOI5RuJiH2Fr21 Class
BINARY SubClassOf RxEmFR2NDOI5RuJiH2Fr21 HIO_0000101
BINARY is www.w3.org/2002/07/# Class
