BINARY is www.genomic-cds.org/ont/genomic-cds.# ObjectProperty
BINARY SubClassOf C0020517 C0150934
BINARY is C0020538 Class
BINARY SubClassOf C0020538 C0001792,
BINARY SubClassOf C0020538 C2362499
BINARY is C0020542 Class
BINARY SubClassOf C0020542 C1456599,
BINARY SubClassOf C0020542 C2362499
BINARY is C0020550 Class
BINARY SubClassOf C0020550 C0014136
BINARY is C0020615 Class
BINARY SubClassOf C0020615 C2362507
BINARY is C0020616 Class
BINARY SubClassOf C0020616 C0011849,
BINARY SubClassOf C0020616 C0013216,
BINARY SubClassOf C0020616 C0014136
BINARY is C0020649 Class
BINARY SubClassOf C0020649 C2362499
BINARY is C0020676 Class
BINARY SubClassOf C0020676 C0014136
BINARY is C0020699 Class
BINARY SubClassOf C0020699 C0043210,
BINARY SubClassOf C0020699 C0700038,
BINARY SubClassOf C0020699 C2362504
BINARY is C0020962 Class
BINARY SubClassOf C0020962 C1456590,
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0021053 Class
BINARY SubClassOf C0021053 C0020962
BINARY is C0021099 Class
BINARY SubClassOf C0021099 C1456601,
BINARY SubClassOf C0021099 C3714514
BINARY is C0021344 Class
BINARY SubClassOf C0021344 C0700038,
BINARY SubClassOf C0021344 C2362503,
BINARY SubClassOf C0021344 C3714514
BINARY is C0021345 Class
BINARY SubClassOf C0021345 C0020962,
BINARY SubClassOf C0021345 C3714514
BINARY is C0021361 Class
BINARY SubClassOf C0021361 C0043210,
BINARY SubClassOf C0021361 C0700038,
BINARY SubClassOf C0021361 C1456602
BINARY is C0021364 Class
BINARY SubClassOf C0021364 C0025266,
BINARY SubClassOf C0021364 C1963704
BINARY is C0021400 Class
BINARY SubClassOf C0021400 C1456599,
BINARY SubClassOf C0021400 C3714514
BINARY is C0021568 Class
BINARY SubClassOf C0021568 C0043251,
BINARY SubClassOf C0021568 C1456601
BINARY is C0021682 Class
BINARY SubClassOf C0021682 C1456613
BINARY is C0021818 Class
BINARY SubClassOf C0021818 C1456595
BINARY is C0021843 Class
BINARY SubClassOf C0021843 C0012240
BINARY is C0022104 Class
BINARY SubClassOf C0022104 C0012240
BINARY is C0022336 Class
BINARY SubClassOf C0022336 C2362500
BINARY is C0022346 Class
BINARY SubClassOf C0022346 C0012240,
BINARY SubClassOf C0022346 C1457887
BINARY is C0022408 Class
BINARY SubClassOf C0022408 C1456595
BINARY is C0022650 Class
BINARY SubClassOf C0022650 C1456596
BINARY is C0022658 Class
BINARY SubClassOf C0022658 C1456596
BINARY is C0022662 Class
BINARY SubClassOf C0022662 C0086143,
BINARY SubClassOf C0022662 C1456596
BINARY is C0022671 Class
BINARY SubClassOf C0022671 C1456596,
BINARY SubClassOf C0022671 C2362505
BINARY is C0022735 Class
BINARY SubClassOf C0022735 C0025266,
BINARY SubClassOf C0022735 C1456603
BINARY is C0022876 Class
BINARY SubClassOf C0022876 C0700038
BINARY is C0022885 Class
BINARY SubClassOf C0022885 C0086143
BINARY is C0022951 Class
BINARY SubClassOf C0022951 C0012240,
BINARY SubClassOf C0022951 C2362507
BINARY is C0023176 Class
BINARY SubClassOf C0023176 C1456610,
BINARY SubClassOf C0023176 C2362498
BINARY is C0023241 Class
BINARY SubClassOf C0023241 C1456599,
BINARY SubClassOf C0023241 C3714514
BINARY is C0023281 Class
BINARY SubClassOf C0023281 C1456601,
BINARY SubClassOf C0023281 C3714514
BINARY is C0023418 Class
BINARY SubClassOf C0023418 C0006826,
BINARY SubClassOf C0023418 C2362499
BINARY is C0023434 Class
BINARY SubClassOf C0023434 C0006826,
BINARY SubClassOf C0023434 C0020962,
BINARY SubClassOf C0023434 C2362499
BINARY is C0023449 Class
BINARY SubClassOf C0023449 C0006826,
BINARY SubClassOf C0023449 C0020962,
BINARY SubClassOf C0023449 C2362499
BINARY is C0023467 Class
BINARY SubClassOf C0023467 C0006826,
BINARY SubClassOf C0023467 C2362499
BINARY is C0023520 Class
BINARY SubClassOf C0023520 C1456603,
BINARY SubClassOf C0023520 C2362500,
BINARY SubClassOf C0023520 C2362507
BINARY is C0023821 Class
BINARY SubClassOf C0023821 C2362499,
BINARY SubClassOf C0023821 C2362501
BINARY is C0023823 Class
BINARY SubClassOf C0023823 C2362499,
BINARY SubClassOf C0023823 C2362501
BINARY is C0023826 Class
BINARY SubClassOf C0023826 C2362499,
BINARY SubClassOf C0023826 C2362501
BINARY is C0023860 Class
BINARY SubClassOf C0023860 C3714514
BINARY is C0023890 Class
BINARY SubClassOf C0023890 C0012240
BINARY is C0023895 Class
BINARY SubClassOf C0023895 C0012240
BINARY is C0023911 Class
BINARY SubClassOf C0023911 C0012240,
BINARY SubClassOf C0023911 C2362505
BINARY is C0024115 Class
BINARY SubClassOf C0024115 C1456599
BINARY is C0024117 Class
BINARY SubClassOf C0024117 C0001792,
BINARY SubClassOf C0024117 C1456599
BINARY is C0024128 Class
BINARY SubClassOf C0024128 C1456599,
BINARY SubClassOf C0024128 C2362505
BINARY is C0024198 Class
BINARY SubClassOf C0024198 C3714514
BINARY is C0024228 Class
BINARY SubClassOf C0024228 C0020962
BINARY is C0024236 Class
BINARY SubClassOf C0024236 C0020962,
BINARY SubClassOf C0024236 C2362499
BINARY is C0024299 Class
BINARY SubClassOf C0024299 C0006826,
BINARY SubClassOf C0024299 C0020962
BINARY is C0024523 Class
BINARY SubClassOf C0024523 C0012240,
BINARY SubClassOf C0024523 C2362501
BINARY is C0024530 Class
BINARY SubClassOf C0024530 C2362499,
BINARY SubClassOf C0024530 C3714514
BINARY is C0024623 Class
BINARY SubClassOf C0024623 C0006826,
BINARY SubClassOf C0024623 C0012240
BINARY is C0024671 Class
BINARY SubClassOf C0024671 C0043210,
BINARY SubClassOf C0024671 C0086143,
BINARY SubClassOf C0024671 C0700038
BINARY is C0024796 Class
BINARY SubClassOf C0024796 C1456603
BINARY is C0024809 Class
BINARY SubClassOf C0024809 C0740858
BINARY is C0024881 Class
BINARY SubClassOf C0024881 C0043210,
BINARY SubClassOf C0024881 C0700038,
BINARY SubClassOf C0024881 C2362504
BINARY is C0025007 Class
BINARY SubClassOf C0025007 C1456601,
BINARY SubClassOf C0025007 C2362498,
BINARY SubClassOf C0025007 C3714514
BINARY is C0025071 Class
BINARY SubClassOf C0025071 C1456613
BINARY is C0025079 Class
BINARY SubClassOf C0025079 C2362502
BINARY is C0025115 Class
BINARY SubClassOf C0025115 C0013216
BINARY is C0025125 Class
BINARY SubClassOf C0025125 C1456609,
BINARY SubClassOf C0025125 C1456846
BINARY is C0025202 Class
BINARY SubClassOf C0025202 C0006826,
BINARY SubClassOf C0025202 C1456601
BINARY is C0025260 Class
BINARY SubClassOf C0025260 C0001792,
BINARY SubClassOf C0025260 C1832070,
BINARY SubClassOf C0025260 C2362500
BINARY is C0025266 Class
BINARY SubClassOf C0025266 C1456590,
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0025281 Class
BINARY SubClassOf C0025281 C0150934
BINARY is C0025289 Class
BINARY SubClassOf C0025289 C2362500,
BINARY SubClassOf C0025289 C3714514
BINARY is C0025303 Class
BINARY SubClassOf C0025303 C3714514
BINARY is C0025320 Class
BINARY SubClassOf C0025320 C0001792,
BINARY SubClassOf C0025320 C0043210,
BINARY SubClassOf C0025320 C0700038
BINARY is C0025344 Class
BINARY SubClassOf C0025344 C0014136,
BINARY SubClassOf C0025344 C0043210,
BINARY SubClassOf C0025344 C0700038
BINARY is C0025353 Class
BINARY SubClassOf C0025353 C1456609,
BINARY SubClassOf C0025353 C1832070
BINARY is C0025424 Class
BINARY SubClassOf C0025424 C1456610
BINARY is C0025500 Class
BINARY SubClassOf C0025500 C0006826,
BINARY SubClassOf C0025500 C1456599
BINARY is C0025517 Class
BINARY SubClassOf C0025517 C1456603,
BINARY SubClassOf C0025517 C2362507
BINARY is C0025611 Class
BINARY SubClassOf C0025611 C0740858
BINARY is C0026162 Class
BINARY SubClassOf C0026162 C2362501
BINARY is C0026267 Class
BINARY SubClassOf C0026267 C2362499
BINARY is C0026603 Class
BINARY SubClassOf C0026603 C1457887
BINARY is C0026636 Class
BINARY SubClassOf C0026636 C0150934,
BINARY SubClassOf C0026636 C1456600
BINARY is C0026650 Class
BINARY SubClassOf C0026650 C1456595,
BINARY SubClassOf C0026650 C2362500
BINARY is C0026691 Class
BINARY SubClassOf C0026691 C0020962,
BINARY SubClassOf C0026691 C1456601,
BINARY SubClassOf C0026691 C2362499
BINARY is C0026764 Class
BINARY SubClassOf C0026764 C0006826,
BINARY SubClassOf C0026764 C0020962
BINARY is C0026769 Class
BINARY SubClassOf C0026769 C1456595,
BINARY SubClassOf C0026769 C2362500
BINARY is C0026780 Class
BINARY SubClassOf C0026780 C2362498,
BINARY SubClassOf C0026780 C3714514
BINARY is C0026821 Class
BINARY SubClassOf C0026821 C1456595
BINARY is C0026847 Class
BINARY SubClassOf C0026847 C1456603,
BINARY SubClassOf C0026847 C2362500
BINARY is C0026848 Class
BINARY SubClassOf C0026848 C1456595
BINARY is C0026850 Class
BINARY SubClassOf C0026850 C1456595,
BINARY SubClassOf C0026850 C1456603
BINARY is C0026896 Class
BINARY SubClassOf C0026896 C2362500
BINARY is C0026918 Class
BINARY SubClassOf C0026918 C3714514
BINARY is C0026946 Class
BINARY SubClassOf C0026946 C1456601,
BINARY SubClassOf C0026946 C3714514
BINARY is C0027051 Class
BINARY SubClassOf C0027051 C2362499
BINARY is C0027121 Class
BINARY SubClassOf C0027121 C1456595
BINARY is C0027339 Class
BINARY SubClassOf C0027339 C1456601
BINARY is C0027498 Class
BINARY SubClassOf C0027498 C0012240,
BINARY SubClassOf C0027498 C1457887
BINARY is C0027617 Class
BINARY SubClassOf C0027617 C1456603,
BINARY SubClassOf C0027617 C2362498
BINARY is C0027708 Class
BINARY SubClassOf C0027708 C0006826,
BINARY SubClassOf C0027708 C1456596
BINARY is C0027765 Class
BINARY SubClassOf C0027765 C2362500
BINARY is C0027794 Class
BINARY SubClassOf C0027794 C1456603,
BINARY SubClassOf C0027794 C2362500
BINARY is C0027819 Class
BINARY SubClassOf C0027819 C0006826,
BINARY SubClassOf C0027819 C2362500
BINARY is C0027859 Class
BINARY SubClassOf C0027859 C0150934,
BINARY SubClassOf C0027859 C2362500
BINARY is C0027868 Class
BINARY SubClassOf C0027868 C1456595,
BINARY SubClassOf C0027868 C2362500
BINARY is C0027960 Class
BINARY SubClassOf C0027960 C1456601
BINARY is C0028263 Class
BINARY SubClassOf C0028263 C0150934,
BINARY SubClassOf C0028263 C1456610
BINARY is C0028688 Class
BINARY SubClassOf C0028688 C0001792,
BINARY SubClassOf C0028688 C1456613
BINARY is C0028754 Class
BINARY SubClassOf C0028754 C2362501,
BINARY SubClassOf C0028754 C2362507
BINARY is C0028768 Class
BINARY SubClassOf C0028768 C1832070
BINARY is C0028850 Class
BINARY SubClassOf C0028850 C0150933
BINARY is C0029132 Class
BINARY SubClassOf C0029132 C0150933
BINARY is C0029162 Class
BINARY SubClassOf C0029162 C1456600,
BINARY SubClassOf C0029162 C1456609
BINARY is C0029216 Class
BINARY SubClassOf C0029216 C2362505
BINARY is C0029335 Class
BINARY SubClassOf C0029335 C1456600
BINARY is C0029401 Class
BINARY SubClassOf C0029401 C1456595
BINARY is C0029408 Class
BINARY SubClassOf C0029408 C0001792,
BINARY SubClassOf C0029408 C1456595
BINARY is C0029434 Class
BINARY SubClassOf C0029434 C1456595,
BINARY SubClassOf C0029434 C1456603
BINARY is C0029445 Class
BINARY SubClassOf C0029445 C1456595
BINARY is C0029456 Class
BINARY SubClassOf C0029456 C0001792,
BINARY SubClassOf C0029456 C0043210,
BINARY SubClassOf C0029456 C1456595
BINARY is C0029473 Class
BINARY SubClassOf C0029473 C0012240,
BINARY SubClassOf C0029473 C1456596,
BINARY SubClassOf C0029473 C2362504
BINARY is C0029927 Class
BINARY SubClassOf C0029927 C0014136,
BINARY SubClassOf C0029927 C0043210,
BINARY SubClassOf C0029927 C0700038
BINARY is C0029928 Class
BINARY SubClassOf C0029928 C0043210,
BINARY SubClassOf C0029928 C0700038
BINARY is C0030106 Class
BINARY SubClassOf C0030106 C1456610
BINARY is C0030193 Class
BINARY SubClassOf C0030193 C1457887,
BINARY SubClassOf C0030193 C2362500
BINARY is C0030231 Class
BINARY SubClassOf C0030231 C1456613,
BINARY SubClassOf C0030231 C2362508
BINARY is C0030275 Class
BINARY SubClassOf C0030275 C0012240,
BINARY SubClassOf C0030275 C0014136,
BINARY SubClassOf C0030275 C2362505
BINARY is C0030286 Class
BINARY SubClassOf C0030286 C0012240,
BINARY SubClassOf C0030286 C0014136
BINARY is C0030305 Class
BINARY SubClassOf C0030305 C0012240
BINARY is C0030319 Class
BINARY SubClassOf C0030319 C1832070
BINARY is C0030499 Class
BINARY SubClassOf C0030499 C3714514
BINARY is C0030517 Class
BINARY SubClassOf C0030517 C0014136
BINARY is C0030567 Class
BINARY SubClassOf C0030567 C0001792,
BINARY SubClassOf C0030567 C2362500
BINARY is C0030662 Class
BINARY SubClassOf C0030662 C1832070
BINARY is C0030706 Class
BINARY SubClassOf C0030706 C1456613,
BINARY SubClassOf C0030706 C2362508
BINARY is C0030758 Class
BINARY SubClassOf C0030758 C1456601,
BINARY SubClassOf C0030758 C2362503,
BINARY SubClassOf C0030758 C3714514
BINARY is C0030759 Class
BINARY SubClassOf C0030759 C1456601,
BINARY SubClassOf C0030759 C2362503,
BINARY SubClassOf C0030759 C3714514
BINARY is C0030794 Class
BINARY SubClassOf C0030794 C0043210,
BINARY SubClassOf C0030794 C0700038,
BINARY SubClassOf C0030794 C1457887,
BINARY SubClassOf C0030794 C2362503
BINARY is C0030807 Class
BINARY SubClassOf C0030807 C0020962,
BINARY SubClassOf C0030807 C1456601
BINARY is C0030846 Class
BINARY SubClassOf C0030846 C0025266,
BINARY SubClassOf C0030846 C1963704,
BINARY SubClassOf C0030846 C2362503
BINARY is C0030920 Class
BINARY SubClassOf C0030920 C0012240
BINARY is C0031142 Class
BINARY SubClassOf C0031142 C0012240
BINARY is C0031212 Class
BINARY SubClassOf C0031212 C1832070
BINARY is C0031253 Class
BINARY SubClassOf C0031253 C1456610
BINARY is C0031485 Class
BINARY SubClassOf C0031485 C1456603,
BINARY SubClassOf C0031485 C2362500,
BINARY SubClassOf C0031485 C2362507
BINARY is C0031511 Class
BINARY SubClassOf C0031511 C0006826,
BINARY SubClassOf C0031511 C0014136
BINARY is C0031847 Class
BINARY is C0032002 Class
BINARY SubClassOf C0032002 C0014136,
BINARY SubClassOf C0032002 C2362500
BINARY is C0032019 Class
BINARY SubClassOf C0032019 C0006826,
BINARY SubClassOf C0032019 C0014136
BINARY is C0032064 Class
BINARY SubClassOf C0032064 C3714514
BINARY is C0032226 Class
BINARY SubClassOf C0032226 C1456599
BINARY is C0032269 Class
BINARY SubClassOf C0032269 C3714514
BINARY is C0032285 Class
BINARY SubClassOf C0032285 C1456599,
BINARY SubClassOf C0032285 C3714514
BINARY is C0032343 Class
BINARY SubClassOf C0032343 C1456610,
BINARY SubClassOf C0032343 C2362502
BINARY is C0032460 Class
BINARY SubClassOf C0032460 C0014136,
BINARY SubClassOf C0032460 C0043210,
BINARY SubClassOf C0032460 C0700038
BINARY is C0032533 Class
BINARY SubClassOf C0032533 C1456595,
BINARY SubClassOf C0032533 C1456601
BINARY is C0032782 Class
BINARY SubClassOf C0032782 C0043210,
BINARY SubClassOf C0032782 C1456602
BINARY is C0032897 Class
BINARY SubClassOf C0032897 C1456603,
BINARY SubClassOf C0032897 C1832070
BINARY is C0032961 Class
BINARY SubClassOf C0032961 C0043210,
BINARY SubClassOf C0032961 C0700038,
BINARY SubClassOf C0032961 C1456602
BINARY is C0032965 Class
BINARY SubClassOf C0032965 C0700038,
BINARY SubClassOf C0032965 C1456602,
BINARY SubClassOf C0032965 C3714514
BINARY is C0032968 Class
BINARY SubClassOf C0032968 C0043210,
BINARY SubClassOf C0032968 C0700038,
BINARY SubClassOf C0032968 C1456602,
BINARY SubClassOf C0032968 C2362498
BINARY is C0032987 Class
BINARY SubClassOf C0032987 C0043210,
BINARY SubClassOf C0032987 C0700038,
BINARY SubClassOf C0032987 C1456602
BINARY is C0033046 Class
BINARY SubClassOf C0033046 C0043210,
BINARY SubClassOf C0033046 C0700038
BINARY is C0033052 Class
BINARY SubClassOf C0033052 C0043210,
BINARY SubClassOf C0033052 C0700038,
BINARY SubClassOf C0033052 C1456602
BINARY is C0033575 Class
BINARY SubClassOf C0033575 C0001792,
BINARY SubClassOf C0033575 C0025266,
BINARY SubClassOf C0033575 C1963704
BINARY is C0033774 Class
BINARY SubClassOf C0033774 C1456601,
BINARY SubClassOf C0033774 C1457887,
BINARY SubClassOf C0033774 C3714514
BINARY is C0033860 Class
BINARY SubClassOf C0033860 C1456601
BINARY is C0033975 Class
BINARY SubClassOf C0033975 C1832070
BINARY is C0034011 Class
BINARY SubClassOf C0034011 C2362498,
BINARY SubClassOf C0034011 C2362503
BINARY is C0034065 Class
BINARY SubClassOf C0034065 C1456599
BINARY is C0034067 Class
BINARY SubClassOf C0034067 C1456599
BINARY is C0034069 Class
BINARY SubClassOf C0034069 C1456599
BINARY is C0034494 Class
BINARY SubClassOf C0034494 C3714514
BINARY is C0034606 Class
BINARY SubClassOf C0034606 C0086143
BINARY is C0034629 Class
BINARY SubClassOf C0034629 C1456610
BINARY is C0034734 Class
BINARY SubClassOf C0034734 C1457887,
BINARY SubClassOf C0034734 C2362499
BINARY is C0034882 Class
BINARY SubClassOf C0034882 C0012240
BINARY is C0034951 Class
BINARY SubClassOf C0034951 C0150933
BINARY is C0034991 Class
BINARY SubClassOf C0034991 C2362504
BINARY is C0035078 Class
BINARY SubClassOf C0035078 C1456596
BINARY is C0035235 Class
BINARY SubClassOf C0035235 C1456599,
BINARY SubClassOf C0035235 C2362498,
BINARY SubClassOf C0035235 C3714514
BINARY is C0035258 Class
BINARY SubClassOf C0035258 C2362500
BINARY is C0035305 Class
BINARY SubClassOf C0035305 C0150933
BINARY is C0035309 Class
BINARY SubClassOf C0035309 C0150933
BINARY is C0035372 Class
BINARY SubClassOf C0035372 C1456603,
BINARY SubClassOf C0035372 C2362500
BINARY is C0035400 Class
BINARY SubClassOf C0035400 C2362500
BINARY is C0035579 Class
BINARY SubClassOf C0035579 C1456595,
BINARY SubClassOf C0035579 C2362507
BINARY is C0035854 Class
BINARY SubClassOf C0035854 C1456601
BINARY is C0035869 Class
BINARY SubClassOf C0035869 C3714514
BINARY is C0035920 Class
BINARY SubClassOf C0035920 C1456601,
BINARY SubClassOf C0035920 C2362498,
BINARY SubClassOf C0035920 C3714514
BINARY is C0036043 Class
BINARY SubClassOf C0036043 C2362502
BINARY is C0036093 Class
BINARY SubClassOf C0036093 C1456600
BINARY is C0036117 Class
BINARY SubClassOf C0036117 C3714514
BINARY is C0036202 Class
BINARY SubClassOf C0036202 C1456599
BINARY is C0036220 Class
BINARY SubClassOf C0036220 C0006826,
BINARY SubClassOf C0036220 C1456601
BINARY is C0036262 Class
BINARY SubClassOf C0036262 C1456601,
BINARY SubClassOf C0036262 C3714514
BINARY is C0036341 Class
BINARY SubClassOf C0036341 C1832070
BINARY is C0036396 Class
BINARY SubClassOf C0036396 C1456595,
BINARY SubClassOf C0036396 C1457887,
BINARY SubClassOf C0036396 C2362500
BINARY is C0036439 Class
BINARY SubClassOf C0036439 C1456595
BINARY is C0036572 Class
BINARY SubClassOf C0036572 C2362500
BINARY is C0036605 Class
BINARY SubClassOf C0036605 C0001792,
BINARY SubClassOf C0036605 C2362504
BINARY is C0036916 Class
BINARY SubClassOf C0036916 C0025266,
BINARY SubClassOf C0036916 C0043210,
BINARY SubClassOf C0036916 C0700038,
BINARY SubClassOf C0036916 C1963704,
BINARY SubClassOf C0036916 C2362503,
BINARY SubClassOf C0036916 C3714514
BINARY is C0036974 Class
BINARY SubClassOf C0036974 C2362499
BINARY is C0037005 Class
BINARY SubClassOf C0037005 C0043251,
BINARY SubClassOf C0037005 C1456595
BINARY is C0037199 Class
BINARY SubClassOf C0037199 C0001792,
BINARY SubClassOf C0037199 C0150934,
BINARY SubClassOf C0037199 C1456599,
BINARY SubClassOf C0037199 C3714514
BINARY is C0037271 Class
BINARY SubClassOf C0037271 C0001792,
BINARY SubClassOf C0037271 C1456601
BINARY is C0037274 Class
BINARY SubClassOf C0037274 C1456601
BINARY is C0037278 Class
BINARY SubClassOf C0037278 C1456601,
BINARY SubClassOf C0037278 C3714514
BINARY is C0037315 Class
BINARY SubClassOf C0037315 C1456599,
BINARY SubClassOf C0037315 C2362500
BINARY is C0037354 Class
BINARY SubClassOf C0037354 C1456610,
BINARY SubClassOf C0037354 C3714514
BINARY is C0037369 Class
BINARY SubClassOf C0037369 C0740858,
BINARY SubClassOf C0037369 C1456599
BINARY is C0037384 Class
BINARY SubClassOf C0037384 C0150934,
BINARY SubClassOf C0037384 C1456599,
BINARY SubClassOf C0037384 C1456600
BINARY is C0037473 Class
BINARY SubClassOf C0037473 C2362501
BINARY is C0037928 Class
BINARY SubClassOf C0037928 C2362500
BINARY is C0037929 Class
BINARY SubClassOf C0037929 C0043251,
BINARY SubClassOf C0037929 C2362500
BINARY is C0037944 Class
BINARY SubClassOf C0037944 C1456595
BINARY is C0037997 Class
BINARY SubClassOf C0037997 C0020962
BINARY is C0038013 Class
BINARY SubClassOf C0038013 C0020962,
BINARY SubClassOf C0038013 C1456595
BINARY is C0038048 Class
BINARY SubClassOf C0038048 C0043251,
BINARY SubClassOf C0038048 C1456595
BINARY is C0038160 Class
BINARY SubClassOf C0038160 C3714514
BINARY is C0038250 Class
BINARY SubClassOf C0038250 C2362505
BINARY is C0038317 Class
BINARY SubClassOf C0038317 C0013216
BINARY is C0038354 Class
BINARY SubClassOf C0038354 C0012240
BINARY is C0038363 Class
BINARY SubClassOf C0038363 C1456600
BINARY is C0038395 Class
BINARY SubClassOf C0038395 C0150934,
BINARY SubClassOf C0038395 C3714514
BINARY is C0038435 Class
BINARY SubClassOf C0038435 C1832070
BINARY is C0038436 Class
BINARY SubClassOf C0038436 C1832070
BINARY is C0038454 Class
BINARY SubClassOf C0038454 C0001792,
BINARY SubClassOf C0038454 C2362499,
BINARY SubClassOf C0038454 C2362500
BINARY is C0038506 Class
BINARY SubClassOf C0038506 C1457887,
BINARY SubClassOf C0038506 C2362500
BINARY is C0038644 Class
BINARY SubClassOf C0038644 C2362498
BINARY is C0038661 Class
BINARY SubClassOf C0038661 C1456611,
BINARY SubClassOf C0038661 C1832070
BINARY is C0038868 Class
BINARY SubClassOf C0038868 C2362500
BINARY is C0038894 Class
BINARY SubClassOf C0038894 C2362504
BINARY is C0038984 Class
BINARY SubClassOf C0038984 C1456601
BINARY is C0039070 Class
BINARY SubClassOf C0039070 C1457887,
BINARY SubClassOf C0039070 C2362500
BINARY is C0039128 Class
BINARY SubClassOf C0039128 C0700038,
BINARY SubClassOf C0039128 C1963704,
BINARY SubClassOf C0039128 C2362503,
BINARY SubClassOf C0039128 C3714514
BINARY is C0039144 Class
BINARY SubClassOf C0039144 C2362500
BINARY is C0039373 Class
BINARY SubClassOf C0039373 C1456603,
BINARY SubClassOf C0039373 C2362500
BINARY is C0039409 Class
BINARY SubClassOf C0039409 C0150933
BINARY is C0039483 Class
BINARY SubClassOf C0039483 C0020962,
BINARY SubClassOf C0039483 C2362499
BINARY is C0039496 Class
BINARY SubClassOf C0039496 C1456600
BINARY is C0039503 Class
BINARY SubClassOf C0039503 C1456595
BINARY is C0039584 Class
BINARY SubClassOf C0039584 C0014136,
BINARY SubClassOf C0039584 C0025266,
BINARY SubClassOf C0039584 C1963704,
BINARY SubClassOf C0039584 C2362503
BINARY is C0039614 Class
BINARY SubClassOf C0039614 C3714514
BINARY is C0039730 Class
BINARY SubClassOf C0039730 C2362499
BINARY is C0039980 Class
BINARY SubClassOf C0039980 C0043251,
BINARY SubClassOf C0039980 C1456595
BINARY is C0039984 Class
BINARY SubClassOf C0039984 C2362500
BINARY is C0040128 Class
BINARY SubClassOf C0040128 C0014136
BINARY is C0040130 Class
BINARY SubClassOf C0040130 C0014136,
BINARY SubClassOf C0040130 C0086143
BINARY is C0040247 Class
BINARY SubClassOf C0040247 C1456601,
BINARY SubClassOf C0040247 C3714514
BINARY is C0040259 Class
BINARY SubClassOf C0040259 C1456601,
BINARY SubClassOf C0040259 C3714514
BINARY is C0040264 Class
BINARY SubClassOf C0040264 C0150934
BINARY is C0040338 Class
BINARY SubClassOf C0040338 C0740858,
BINARY SubClassOf C0040338 C1456600
BINARY is C0040405 Class
BINARY SubClassOf C0040405 C0086143
BINARY is C0040409 Class
BINARY SubClassOf C0040409 C1456600
BINARY is C0040425 Class
BINARY SubClassOf C0040425 C0020962,
BINARY SubClassOf C0040425 C0150934,
BINARY SubClassOf C0040425 C1456600,
BINARY SubClassOf C0040425 C2362498
BINARY is C0040435 Class
BINARY SubClassOf C0040435 C1456600
BINARY is C0040476 Class
BINARY SubClassOf C0040476 C0012618
BINARY is C0040517 Class
BINARY SubClassOf C0040517 C1456603,
BINARY SubClassOf C0040517 C2362500
BINARY is C0040558 Class
BINARY SubClassOf C0040558 C3714514
BINARY is C0040580 Class
BINARY SubClassOf C0040580 C1456599
BINARY is C0040822 Class
BINARY SubClassOf C0040822 C0001792,
BINARY SubClassOf C0040822 C2362500
BINARY is C0040921 Class
BINARY SubClassOf C0040921 C0700038,
BINARY SubClassOf C0040921 C2362503,
BINARY SubClassOf C0040921 C3714514
BINARY is C0040997 Class
BINARY SubClassOf C0040997 C2362500
BINARY is C0041004 Class
BINARY SubClassOf C0041004 C2362499,
BINARY SubClassOf C0041004 C2362501
BINARY is C0041234 Class
BINARY SubClassOf C0041234 C3714514
BINARY is C0041296 Class
BINARY SubClassOf C0041296 C1456599,
BINARY SubClassOf C0041296 C3714514
BINARY is C0041341 Class
BINARY SubClassOf C0041341 C1456603,
BINARY SubClassOf C0041341 C2362500
BINARY is C0041408 Class
BINARY SubClassOf C0041408 C0014136,
BINARY SubClassOf C0041408 C1456603
BINARY is C0041755 Class
BINARY SubClassOf C0041755 C0013216
BINARY is C0041969 Class
BINARY SubClassOf C0041969 C1456596
BINARY is C0042014 Class
BINARY SubClassOf C0042014 C1456596
BINARY is C0042024 Class
BINARY SubClassOf C0042024 C0001792,
BINARY SubClassOf C0042024 C1456596
BINARY is C0042029 Class
BINARY SubClassOf C0042029 C1456596,
BINARY SubClassOf C0042029 C3714514
BINARY is C0042034 Class
BINARY SubClassOf C0042034 C1456596
BINARY is C0042109 Class
BINARY SubClassOf C0042109 C0020962,
BINARY SubClassOf C0042109 C1456601,
BINARY SubClassOf C0042109 C1457887
BINARY is C0042131 Class
BINARY SubClassOf C0042131 C0043210,
BINARY SubClassOf C0042131 C0700038
BINARY is C0042133 Class
BINARY SubClassOf C0042133 C0043210,
BINARY SubClassOf C0042133 C0700038
BINARY is C0042210 Class
BINARY SubClassOf C0042210 C0020962,
BINARY SubClassOf C0042210 C3714514
BINARY is C0042237 Class
BINARY SubClassOf C0042237 C0006826,
BINARY SubClassOf C0042237 C0043210,
BINARY SubClassOf C0042237 C0700038
BINARY is C0042251 Class
BINARY SubClassOf C0042251 C0043210,
BINARY SubClassOf C0042251 C0700038
BINARY is C0042267 Class
BINARY SubClassOf C0042267 C0043210,
BINARY SubClassOf C0042267 C0700038
BINARY is C0042345 Class
BINARY SubClassOf C0042345 C2362499
BINARY is C0042373 Class
BINARY SubClassOf C0042373 C2362499
BINARY is C0042384 Class
BINARY SubClassOf C0042384 C2362499
BINARY is C0042387 Class
BINARY SubClassOf C0042387 C0025266,
BINARY SubClassOf C0042387 C1456602,
BINARY SubClassOf C0042387 C1963704
BINARY is C0042769 Class
BINARY SubClassOf C0042769 C0020962,
