BINARY is hadUsage ObjectProperty
BINARY is Spirometer Class
BINARY SubClassOf Spirometer DataCollectionInstrument
BINARY is Stadiometer Class
BINARY SubClassOf Stadiometer DataCollectionInstrument
BINARY is StudyInstrument Class
BINARY SubClassOf StudyInstrument Agent
BINARY is Thermistor Class
BINARY SubClassOf Thermistor DataCollectionInstrument
BINARY is ThoracicInductanceRespiratoryPlethysmography Class
BINARY SubClassOf ThoracicInductanceRespiratoryPlethysmography Inductance
BINARY is ThreeLeadElectrocardiograph Class
BINARY SubClassOf ThreeLeadElectrocardiograph Electrocardiograph
BINARY is TwelveLeadElectrocardiograph Class
BINARY SubClassOf TwelveLeadElectrocardiograph Electrocardiograph
BINARY is WomensHealthInitiativeInsomniaRatingScale Class
BINARY SubClassOf WomensHealthInitiativeInsomniaRatingScale SleepQuestionnaire
BINARY is WristActigraph Class
BINARY SubClassOf WristActigraph Actigraph
BINARY is XRay Class
BINARY SubClassOf XRay Radiograph
BINARY is www.w3.org/2002/07/# Class
BINARY is Agent Class
BINARY is Thing www.w3.org/2002/07/#
BINARY DisjointWith Thing InstantaneousEvent
BINARY is InstantaneousEvent Class
BINARY DisjointWith InstantaneousEvent Agent
