string is Datatype.
subject has association is ObjectProperty.
subject has association Characteristics Irreflexive.
subject has association Domain OrphaCode.
subject has association Range Association.
with frequency is DataProperty.
Orphanet 1906 SubClassOf OrphaCode.
Orphanet 1908 is Class.
Orphanet 1908 SubClassOf OrphaCode.
Orphanet 1909 is Class.
Orphanet 1909 SubClassOf OrphaCode.
Orphanet 191 is Class.
Orphanet 191 SubClassOf OrphaCode.
Orphanet 1910 is Class.
Orphanet 1910 SubClassOf OrphaCode.
Orphanet 1911 is Class.
Orphanet 1911 SubClassOf OrphaCode.
Orphanet 1912 is Class.
Orphanet 1912 SubClassOf OrphaCode.
Orphanet 1913 is Class.
Orphanet 1913 SubClassOf OrphaCode.
Orphanet 1914 is Class.
Orphanet 1914 SubClassOf OrphaCode.
Orphanet 1915 is Class.
Orphanet 1915 SubClassOf OrphaCode.
Orphanet 1916 is Class.
Orphanet 1916 SubClassOf OrphaCode.
Orphanet 1917 is Class.
Orphanet 1917 SubClassOf OrphaCode.
Orphanet 1918 is Class.
Orphanet 1918 SubClassOf OrphaCode.
Orphanet 1919 is Class.
Orphanet 1919 SubClassOf OrphaCode.
Orphanet 192 is Class.
Orphanet 192 SubClassOf OrphaCode.
Orphanet 1920 is Class.
Orphanet 1920 SubClassOf OrphaCode.
Orphanet 1923 is Class.
Orphanet 1923 SubClassOf OrphaCode.
Orphanet 1926 is Class.
Orphanet 1926 SubClassOf OrphaCode.
Orphanet 1927 is Class.
Orphanet 1927 SubClassOf OrphaCode.
Orphanet 1928 is Class.
Orphanet 1928 SubClassOf OrphaCode.
Orphanet 1929 is Class.
Orphanet 1929 SubClassOf OrphaCode.
Orphanet 193 is Class.
Orphanet 193 SubClassOf OrphaCode.
Orphanet 1930 is Class.
Orphanet 1930 SubClassOf OrphaCode.
Orphanet 1931 is Class.
Orphanet 1931 SubClassOf OrphaCode.
Orphanet 1933 is Class.
Orphanet 1933 SubClassOf OrphaCode.
Orphanet 1934 is Class.
Orphanet 1934 SubClassOf OrphaCode.
Orphanet 1935 is Class.
Orphanet 1935 SubClassOf OrphaCode.
Orphanet 1937 is Class.
Orphanet 1937 SubClassOf OrphaCode.
Orphanet 1941 is Class.
Orphanet 1941 SubClassOf OrphaCode.
Orphanet 1942 is Class.
Orphanet 1942 SubClassOf OrphaCode.
Orphanet 1945 is Class.
Orphanet 1945 SubClassOf OrphaCode.
Orphanet 1946 is Class.
Orphanet 1946 SubClassOf OrphaCode.
Orphanet 1947 is Class.
Orphanet 1947 SubClassOf OrphaCode.
Orphanet 1948 is Class.
Orphanet 1948 SubClassOf OrphaCode.
Orphanet 1949 is Class.
Orphanet 1949 SubClassOf OrphaCode.
Orphanet 195 is Class.
Orphanet 195 SubClassOf OrphaCode.
Orphanet 1951 is Class.
Orphanet 1951 SubClassOf OrphaCode.
Orphanet 1952 is Class.
Orphanet 1952 SubClassOf OrphaCode.
Orphanet 1954 is Class.
Orphanet 1954 SubClassOf OrphaCode.
Orphanet 1955 is Class.
Orphanet 1955 SubClassOf OrphaCode.
Orphanet 1959 is Class.
Orphanet 1959 SubClassOf OrphaCode.
Orphanet 1962 is Class.
Orphanet 1962 SubClassOf OrphaCode.
Orphanet 1964 is Class.
Orphanet 1964 SubClassOf OrphaCode.
Orphanet 1968 is Class.
Orphanet 1968 SubClassOf OrphaCode.
Orphanet 1969 is Class.
Orphanet 1969 SubClassOf OrphaCode.
Orphanet 1970 is Class.
Orphanet 1970 SubClassOf OrphaCode.
Orphanet 1972 is Class.
Orphanet 1972 SubClassOf OrphaCode.
Orphanet 1973 is Class.
Orphanet 1973 SubClassOf OrphaCode.
Orphanet 1974 is Class.
Orphanet 1974 SubClassOf OrphaCode.
Orphanet 1979 is Class.
Orphanet 1979 SubClassOf OrphaCode.
Orphanet 198 is Class.
Orphanet 198 SubClassOf OrphaCode.
Orphanet 1980 is Class.
Orphanet 1980 SubClassOf OrphaCode.
Orphanet 1986 is Class.
Orphanet 1986 SubClassOf OrphaCode.
Orphanet 1988 is Class.
Orphanet 1988 SubClassOf OrphaCode.
Orphanet 199 is Class.
Orphanet 199 SubClassOf OrphaCode.
Orphanet 199241 is Class.
Orphanet 199241 SubClassOf OrphaCode.
Orphanet 199244 is Class.
Orphanet 199244 SubClassOf OrphaCode.
Orphanet 199251 is Class.
Orphanet 199251 SubClassOf OrphaCode.
Orphanet 199267 is Class.
Orphanet 199267 SubClassOf OrphaCode.
Orphanet 199276 is Class.
Orphanet 199276 SubClassOf OrphaCode.
Orphanet 199296 is Class.
Orphanet 199296 SubClassOf OrphaCode.
Orphanet 199299 is Class.
Orphanet 199299 SubClassOf OrphaCode.
Orphanet 1993 is Class.
Orphanet 1993 SubClassOf OrphaCode.
Orphanet 199302 is Class.
Orphanet 199302 SubClassOf OrphaCode.
Orphanet 199306 is Class.
Orphanet 199306 SubClassOf OrphaCode.
Orphanet 199310 is Class.
Orphanet 199310 SubClassOf OrphaCode.
Orphanet 199318 is Class.
Orphanet 199318 SubClassOf OrphaCode.
Orphanet 199343 is Class.
Orphanet 199343 SubClassOf OrphaCode.
Orphanet 199351 is Class.
Orphanet 199351 SubClassOf OrphaCode.
Orphanet 199354 is Class.
Orphanet 199354 SubClassOf OrphaCode.
Orphanet 1995 is Class.
Orphanet 1995 SubClassOf OrphaCode.
Orphanet 1997 is Class.
Orphanet 1997 SubClassOf OrphaCode.
Orphanet 20 is Class.
Orphanet 20 SubClassOf OrphaCode.
Orphanet 200 is Class.
Orphanet 200 SubClassOf OrphaCode.
Orphanet 2001 is Class.
Orphanet 2001 SubClassOf OrphaCode.
Orphanet 2003 is Class.
Orphanet 2003 SubClassOf OrphaCode.
Orphanet 2004 is Class.
Orphanet 2004 SubClassOf OrphaCode.
Orphanet 2007 is Class.
Orphanet 2007 SubClassOf OrphaCode.
Orphanet 2008 is Class.
Orphanet 2008 SubClassOf OrphaCode.
Orphanet 201 is Class.
Orphanet 201 SubClassOf OrphaCode.
Orphanet 2010 is Class.
Orphanet 2010 SubClassOf OrphaCode.
Orphanet 2013 is Class.
Orphanet 2013 SubClassOf OrphaCode.
Orphanet 2015 is Class.
Orphanet 2015 SubClassOf OrphaCode.
Orphanet 2016 is Class.
Orphanet 2016 SubClassOf OrphaCode.
Orphanet 2017 is Class.
Orphanet 2017 SubClassOf OrphaCode.
Orphanet 2019 is Class.
Orphanet 2019 SubClassOf OrphaCode.
Orphanet 202 is Class.
Orphanet 202 SubClassOf OrphaCode.
Orphanet 2020 is Class.
Orphanet 2020 SubClassOf OrphaCode.
Orphanet 2021 is Class.
Orphanet 2021 SubClassOf OrphaCode.
Orphanet 2022 is Class.
Orphanet 2022 SubClassOf OrphaCode.
Orphanet 2023 is Class.
Orphanet 2023 SubClassOf OrphaCode.
Orphanet 2024 is Class.
Orphanet 2024 SubClassOf OrphaCode.
Orphanet 2025 is Class.
Orphanet 2025 SubClassOf OrphaCode.
Orphanet 2026 is Class.
Orphanet 2026 SubClassOf OrphaCode.
Orphanet 2027 is Class.
Orphanet 2027 SubClassOf OrphaCode.
Orphanet 2028 is Class.
Orphanet 2028 SubClassOf OrphaCode.
Orphanet 2031 is Class.
Orphanet 2031 SubClassOf OrphaCode.
Orphanet 2032 is Class.
Orphanet 2032 SubClassOf OrphaCode.
Orphanet 2035 is Class.
Orphanet 2035 SubClassOf OrphaCode.
Orphanet 2036 is Class.
Orphanet 2036 SubClassOf OrphaCode.
Orphanet 2038 is Class.
Orphanet 2038 SubClassOf OrphaCode.
Orphanet 204 is Class.
Orphanet 204 SubClassOf OrphaCode.
Orphanet 2040 is Class.
Orphanet 2040 SubClassOf OrphaCode.
Orphanet 2041 is Class.
Orphanet 2041 SubClassOf OrphaCode.
Orphanet 2044 is Class.
Orphanet 2044 SubClassOf OrphaCode.
Orphanet 2045 is Class.
Orphanet 2045 SubClassOf OrphaCode.
Orphanet 2047 is Class.
Orphanet 2047 SubClassOf OrphaCode.
Orphanet 2048 is Class.
Orphanet 2048 SubClassOf OrphaCode.
Orphanet 205 is Class.
Orphanet 205 SubClassOf OrphaCode.
Orphanet 2050 is Class.
Orphanet 2050 SubClassOf OrphaCode.
Orphanet 2052 is Class.
Orphanet 2052 SubClassOf OrphaCode.
Orphanet 2053 is Class.
Orphanet 2053 SubClassOf OrphaCode.
Orphanet 2056 is Class.
Orphanet 2056 SubClassOf OrphaCode.
Orphanet 2057 is Class.
Orphanet 2057 SubClassOf OrphaCode.
Orphanet 2058 is Class.
Orphanet 2058 SubClassOf OrphaCode.
Orphanet 2059 is Class.
Orphanet 2059 SubClassOf OrphaCode.
Orphanet 2062 is Class.
Orphanet 2062 SubClassOf OrphaCode.
Orphanet 2063 is Class.
Orphanet 2063 SubClassOf OrphaCode.
Orphanet 2064 is Class.
Orphanet 2064 SubClassOf OrphaCode.
Orphanet 206436 is Class.
Orphanet 206436 SubClassOf OrphaCode.
Orphanet 206443 is Class.
Orphanet 206443 SubClassOf OrphaCode.
Orphanet 206448 is Class.
Orphanet 206448 SubClassOf OrphaCode.
Orphanet 206484 is Class.
Orphanet 206484 SubClassOf OrphaCode.
Orphanet 2065 is Class.
Orphanet 2065 SubClassOf OrphaCode.
Orphanet 206546 is Class.
Orphanet 206546 SubClassOf OrphaCode.
Orphanet 206549 is Class.
Orphanet 206549 SubClassOf OrphaCode.
Orphanet 206559 is Class.
Orphanet 206559 SubClassOf OrphaCode.
Orphanet 206569 is Class.
Orphanet 206569 SubClassOf OrphaCode.
Orphanet 206572 is Class.
Orphanet 206572 SubClassOf OrphaCode.
Orphanet 206583 is Class.
Orphanet 206583 SubClassOf OrphaCode.
Orphanet 206594 is Class.
Orphanet 206594 SubClassOf OrphaCode.
Orphanet 206599 is Class.
Orphanet 206599 SubClassOf OrphaCode.
Orphanet 2067 is Class.
Orphanet 2067 SubClassOf OrphaCode.
Orphanet 2069 is Class.
Orphanet 2069 SubClassOf OrphaCode.
Orphanet 207 is Class.
Orphanet 207 SubClassOf OrphaCode.
Orphanet 2070 is Class.
Orphanet 2070 SubClassOf OrphaCode.
Orphanet 2072 is Class.
Orphanet 2072 SubClassOf OrphaCode.
Orphanet 2073 is Class.
Orphanet 2073 SubClassOf OrphaCode.
Orphanet 2074 is Class.
Orphanet 2074 SubClassOf OrphaCode.
Orphanet 2075 is Class.
Orphanet 2075 SubClassOf OrphaCode.
Orphanet 2077 is Class.
Orphanet 2077 SubClassOf OrphaCode.
Orphanet 2078 is Class.
Orphanet 2078 SubClassOf OrphaCode.
Orphanet 2083 is Class.
Orphanet 2083 SubClassOf OrphaCode.
Orphanet 2084 is Class.
Orphanet 2084 SubClassOf OrphaCode.
Orphanet 208441 is Class.
Orphanet 208441 SubClassOf OrphaCode.
Orphanet 208444 is Class.
Orphanet 208444 SubClassOf OrphaCode.
Orphanet 208447 is Class.
Orphanet 208447 SubClassOf OrphaCode.
Orphanet 2085 is Class.
Orphanet 2085 SubClassOf OrphaCode.
Orphanet 208513 is Class.
Orphanet 208513 SubClassOf OrphaCode.
Orphanet 2086 is Class.
Orphanet 2086 SubClassOf OrphaCode.
Orphanet 2088 is Class.
Orphanet 2088 SubClassOf OrphaCode.
Orphanet 2089 is Class.
Orphanet 2089 SubClassOf OrphaCode.
Orphanet 208999 is Class.
Orphanet 208999 SubClassOf OrphaCode.
Orphanet 2090 is Class.
Orphanet 2090 SubClassOf OrphaCode.
Orphanet 209004 is Class.
Orphanet 209004 SubClassOf OrphaCode.
Orphanet 2091 is Class.
Orphanet 2091 SubClassOf OrphaCode.
Orphanet 2092 is Class.
Orphanet 2092 SubClassOf OrphaCode.
Orphanet 209335 is Class.
Orphanet 209335 SubClassOf OrphaCode.
Orphanet 209370 is Class.
Orphanet 209370 SubClassOf OrphaCode.
Orphanet 2095 is Class.
Orphanet 2095 SubClassOf OrphaCode.
Orphanet 2097 is Class.
Orphanet 2097 SubClassOf OrphaCode.
Orphanet 2098 is Class.
Orphanet 2098 SubClassOf OrphaCode.
Orphanet 209902 is Class.
Orphanet 209902 SubClassOf OrphaCode.
Orphanet 209905 is Class.
Orphanet 209905 SubClassOf OrphaCode.
Orphanet 209908 is Class.
Orphanet 209908 SubClassOf OrphaCode.
Orphanet 209919 is Class.
Orphanet 209919 SubClassOf OrphaCode.
Orphanet 209943 is Class.
Orphanet 209943 SubClassOf OrphaCode.
Orphanet 209951 is Class.
Orphanet 209951 SubClassOf OrphaCode.
Orphanet 209956 is Class.
Orphanet 209956 SubClassOf OrphaCode.
Orphanet 209959 is Class.
Orphanet 209959 SubClassOf OrphaCode.
Orphanet 209964 is Class.
Orphanet 209964 SubClassOf OrphaCode.
Orphanet 209967 is Class.
Orphanet 209967 SubClassOf OrphaCode.
Orphanet 209970 is Class.
Orphanet 209970 SubClassOf OrphaCode.
Orphanet 209981 is Class.
Orphanet 209981 SubClassOf OrphaCode.
Orphanet 2101 is Class.
Orphanet 2101 SubClassOf OrphaCode.
Orphanet 210110 is Class.
Orphanet 210110 SubClassOf OrphaCode.
Orphanet 210122 is Class.
Orphanet 210122 SubClassOf OrphaCode.
Orphanet 210128 is Class.
Orphanet 210128 SubClassOf OrphaCode.
Orphanet 210136 is Class.
Orphanet 210136 SubClassOf OrphaCode.
Orphanet 210272 is Class.
Orphanet 210272 SubClassOf OrphaCode.
Orphanet 2104 is Class.
Orphanet 2104 SubClassOf OrphaCode.
Orphanet 210548 is Class.
Orphanet 210548 SubClassOf OrphaCode.
Orphanet 210571 is Class.
Orphanet 210571 SubClassOf OrphaCode.
Orphanet 2107 is Class.
Orphanet 2107 SubClassOf OrphaCode.
Orphanet 2108 is Class.
Orphanet 2108 SubClassOf OrphaCode.
Orphanet 211 is Class.
Orphanet 211 SubClassOf OrphaCode.
Orphanet 2110 is Class.
Orphanet 2110 SubClassOf OrphaCode.
Orphanet 211017 is Class.
Orphanet 211017 SubClassOf OrphaCode.
Orphanet 211067 is Class.
Orphanet 211067 SubClassOf OrphaCode.
Orphanet 2111 is Class.
Orphanet 2111 SubClassOf OrphaCode.
Orphanet 2114 is Class.
Orphanet 2114 SubClassOf OrphaCode.
Orphanet 2115 is Class.
Orphanet 2115 SubClassOf OrphaCode.
Orphanet 2116 is Class.
Orphanet 2116 SubClassOf OrphaCode.
Orphanet 2117 is Class.
Orphanet 2117 SubClassOf OrphaCode.
Orphanet 2118 is Class.
Orphanet 2118 SubClassOf OrphaCode.
Orphanet 2119 is Class.
Orphanet 2119 SubClassOf OrphaCode.
Orphanet 212 is Class.
Orphanet 212 SubClassOf OrphaCode.
Orphanet 2123 is Class.
Orphanet 2123 SubClassOf OrphaCode.
Orphanet 2126 is Class.
Orphanet 2126 SubClassOf OrphaCode.
Orphanet 2128 is Class.
Orphanet 2128 SubClassOf OrphaCode.
Orphanet 213 is Class.
Orphanet 213 SubClassOf OrphaCode.
Orphanet 2131 is Class.
Orphanet 2131 SubClassOf OrphaCode.
Orphanet 2133 is Class.
Orphanet 2133 SubClassOf OrphaCode.
Orphanet 2134 is Class.
Orphanet 2134 SubClassOf OrphaCode.
Orphanet 2135 is Class.
Orphanet 2135 SubClassOf OrphaCode.
Orphanet 2136 is Class.
Orphanet 2136 SubClassOf OrphaCode.
Orphanet 2137 is Class.
Orphanet 2137 SubClassOf OrphaCode.
Orphanet 2138 is Class.
Orphanet 2138 SubClassOf OrphaCode.
Orphanet 2139 is Class.
Orphanet 2139 SubClassOf OrphaCode.
Orphanet 214 is Class.
Orphanet 214 SubClassOf OrphaCode.
Orphanet 2140 is Class.
Orphanet 2140 SubClassOf OrphaCode.
Orphanet 2141 is Class.
Orphanet 2141 SubClassOf OrphaCode.
Orphanet 2143 is Class.
Orphanet 2143 SubClassOf OrphaCode.
Orphanet 2145 is Class.
Orphanet 2145 SubClassOf OrphaCode.
Orphanet 2148 is Class.
Orphanet 2148 SubClassOf OrphaCode.
Orphanet 2149 is Class.
Orphanet 2149 SubClassOf OrphaCode.
Orphanet 215 is Class.
Orphanet 215 SubClassOf OrphaCode.
Orphanet 2150 is Class.
Orphanet 2150 SubClassOf OrphaCode.
Orphanet 2151 is Class.
Orphanet 2151 SubClassOf OrphaCode.
Orphanet 2152 is Class.
Orphanet 2152 SubClassOf OrphaCode.
Orphanet 2155 is Class.
Orphanet 2155 SubClassOf OrphaCode.
Orphanet 2157 is Class.
Orphanet 2157 SubClassOf OrphaCode.
Orphanet 2158 is Class.
Orphanet 2158 SubClassOf OrphaCode.
Orphanet 2162 is Class.
Orphanet 2162 SubClassOf OrphaCode.
Orphanet 2163 is Class.
Orphanet 2163 SubClassOf OrphaCode.
Orphanet 2165 is Class.
Orphanet 2165 SubClassOf OrphaCode.
Orphanet 2166 is Class.
Orphanet 2166 SubClassOf OrphaCode.
Orphanet 216694 is Class.
Orphanet 216694 SubClassOf OrphaCode.
Orphanet 2167 is Class.
Orphanet 2167 SubClassOf OrphaCode.
Orphanet 216866 is Class.
Orphanet 216866 SubClassOf OrphaCode.
Orphanet 216873 is Class.
Orphanet 216873 SubClassOf OrphaCode.
Orphanet 2169 is Class.
Orphanet 2169 SubClassOf OrphaCode.
Orphanet 217 is Class.
Orphanet 217 SubClassOf OrphaCode.
Orphanet 217012 is Class.
Orphanet 217012 SubClassOf OrphaCode.
Orphanet 217017 is Class.
Orphanet 217017 SubClassOf OrphaCode.
Orphanet 217059 is Class.
Orphanet 217059 SubClassOf OrphaCode.
Orphanet 217067 is Class.
Orphanet 217067 SubClassOf OrphaCode.
Orphanet 217085 is Class.
Orphanet 217085 SubClassOf OrphaCode.
Orphanet 217093 is Class.
Orphanet 217093 SubClassOf OrphaCode.
Orphanet 2172 is Class.
Orphanet 2172 SubClassOf OrphaCode.
Orphanet 217253 is Class.
Orphanet 217253 SubClassOf OrphaCode.
Orphanet 217260 is Class.
Orphanet 217260 SubClassOf OrphaCode.
Orphanet 217266 is Class.
Orphanet 217266 SubClassOf OrphaCode.
Orphanet 217335 is Class.
Orphanet 217335 SubClassOf OrphaCode.
Orphanet 217340 is Class.
Orphanet 217340 SubClassOf OrphaCode.
Orphanet 217346 is Class.
Orphanet 217346 SubClassOf OrphaCode.
Orphanet 217377 is Class.
Orphanet 217377 SubClassOf OrphaCode.
Orphanet 217385 is Class.
Orphanet 217385 SubClassOf OrphaCode.
Orphanet 217390 is Class.
Orphanet 217390 SubClassOf OrphaCode.
Orphanet 217563 is Class.
Orphanet 217563 SubClassOf OrphaCode.
Orphanet 2176 is Class.
Orphanet 2176 SubClassOf OrphaCode.
Orphanet 217622 is Class.
Orphanet 217622 SubClassOf OrphaCode.
Orphanet 2177 is Class.
Orphanet 2177 SubClassOf OrphaCode.
Orphanet 218 is Class.
Orphanet 218 SubClassOf OrphaCode.
Orphanet 2180 is Class.
Orphanet 2180 SubClassOf OrphaCode.
Orphanet 2181 is Class.
Orphanet 2181 SubClassOf OrphaCode.
Orphanet 2182 is Class.
Orphanet 2182 SubClassOf OrphaCode.
Orphanet 2183 is Class.
Orphanet 2183 SubClassOf OrphaCode.
Orphanet 2184 is Class.
Orphanet 2184 SubClassOf OrphaCode.
Orphanet 2185 is Class.
Orphanet 2185 SubClassOf OrphaCode.
Orphanet 2189 is Class.
Orphanet 2189 SubClassOf OrphaCode.
Orphanet 219 is Class.
Orphanet 219 SubClassOf OrphaCode.
Orphanet 2196 is Class.
Orphanet 2196 SubClassOf OrphaCode.
Orphanet 2197 is Class.
Orphanet 2197 SubClassOf OrphaCode.
Orphanet 2198 is Class.
Orphanet 2198 SubClassOf OrphaCode.
Orphanet 2199 is Class.
Orphanet 2199 SubClassOf OrphaCode.
Orphanet 22 is Class.
Orphanet 22 SubClassOf OrphaCode.
Orphanet 220 is Class.
Orphanet 220 SubClassOf OrphaCode.
Orphanet 2200 is Class.
Orphanet 2200 SubClassOf OrphaCode.
Orphanet 2201 is Class.
Orphanet 2201 SubClassOf OrphaCode.
Orphanet 2202 is Class.
Orphanet 2202 SubClassOf OrphaCode.
Orphanet 220295 is Class.
Orphanet 220295 SubClassOf OrphaCode.
Orphanet 2203 is Class.
Orphanet 2203 SubClassOf OrphaCode.
Orphanet 220386 is Class.
Orphanet 220386 SubClassOf OrphaCode.
Orphanet 220393 is Class.
Orphanet 220393 SubClassOf OrphaCode.
Orphanet 2204 is Class.
Orphanet 2204 SubClassOf OrphaCode.
Orphanet 220402 is Class.
Orphanet 220402 SubClassOf OrphaCode.
Orphanet 220460 is Class.
Orphanet 220460 SubClassOf OrphaCode.
Orphanet 220493 is Class.
Orphanet 220493 SubClassOf OrphaCode.
Orphanet 220497 is Class.
Orphanet 220497 SubClassOf OrphaCode.
Orphanet 2206 is Class.
Orphanet 2206 SubClassOf OrphaCode.
Orphanet 2209 is Class.
Orphanet 2209 SubClassOf OrphaCode.
Orphanet 221 is Class.
Orphanet 221 SubClassOf OrphaCode.
Orphanet 221008 is Class.
Orphanet 221008 SubClassOf OrphaCode.
Orphanet 221016 is Class.
Orphanet 221016 SubClassOf OrphaCode.
Orphanet 221054 is Class.
Orphanet 221054 SubClassOf OrphaCode.
Orphanet 221061 is Class.
Orphanet 221061 SubClassOf OrphaCode.
Orphanet 221074 is Class.
Orphanet 221074 SubClassOf OrphaCode.
Orphanet 221091 is Class.
Orphanet 221091 SubClassOf OrphaCode.
Orphanet 221098 is Class.
Orphanet 221098 SubClassOf OrphaCode.
Orphanet 2211 is Class.
Orphanet 2211 SubClassOf OrphaCode.
Orphanet 221120 is Class.
Orphanet 221120 SubClassOf OrphaCode.
Orphanet 221139 is Class.
Orphanet 221139 SubClassOf OrphaCode.
Orphanet 2213 is Class.
Orphanet 2213 SubClassOf OrphaCode.
Orphanet 2215 is Class.
Orphanet 2215 SubClassOf OrphaCode.
Orphanet 2216 is Class.
Orphanet 2216 SubClassOf OrphaCode.
Orphanet 2218 is Class.
Orphanet 2218 SubClassOf OrphaCode.
Orphanet 222 is Class.
Orphanet 222 SubClassOf OrphaCode.
Orphanet 2220 is Class.
Orphanet 2220 SubClassOf OrphaCode.
Orphanet 2221 is Class.
Orphanet 2221 SubClassOf OrphaCode.
Orphanet 2222 is Class.
Orphanet 2222 SubClassOf OrphaCode.
Orphanet 2228 is Class.
Orphanet 2228 SubClassOf OrphaCode.
Orphanet 2229 is Class.
Orphanet 2229 SubClassOf OrphaCode.
Orphanet 223 is Class.
Orphanet 223 SubClassOf OrphaCode.
Orphanet 2232 is Class.
Orphanet 2232 SubClassOf OrphaCode.
Orphanet 2233 is Class.
Orphanet 2233 SubClassOf OrphaCode.
Orphanet 2234 is Class.
Orphanet 2234 SubClassOf OrphaCode.
Orphanet 2235 is Class.
Orphanet 2235 SubClassOf OrphaCode.
Orphanet 2237 is Class.
Orphanet 2237 SubClassOf OrphaCode.
Orphanet 2238 is Class.
Orphanet 2238 SubClassOf OrphaCode.
Orphanet 2239 is Class.
Orphanet 2239 SubClassOf OrphaCode.
Orphanet 2241 is Class.
Orphanet 2241 SubClassOf OrphaCode.
Orphanet 2246 is Class.
Orphanet 2246 SubClassOf OrphaCode.
Orphanet 2248 is Class.
Orphanet 2248 SubClassOf OrphaCode.
Orphanet 2249 is Class.
Orphanet 2249 SubClassOf OrphaCode.
Orphanet 2250 is Class.
Orphanet 2250 SubClassOf OrphaCode.
Orphanet 2251 is Class.
Orphanet 2251 SubClassOf OrphaCode.
Orphanet 225147 is Class.
Orphanet 225147 SubClassOf OrphaCode.
Orphanet 225154 is Class.
Orphanet 225154 SubClassOf OrphaCode.
Orphanet 2252 is Class.
Orphanet 2252 SubClassOf OrphaCode.
Orphanet 2253 is Class.
Orphanet 2253 SubClassOf OrphaCode.
Orphanet 2254 is Class.
Orphanet 2254 SubClassOf OrphaCode.
Orphanet 2255 is Class.
Orphanet 2255 SubClassOf OrphaCode.
Orphanet 2256 is Class.
Orphanet 2256 SubClassOf OrphaCode.
Orphanet 2257 is Class.
Orphanet 2257 SubClassOf OrphaCode.
Orphanet 226 is Class.
Orphanet 226 SubClassOf OrphaCode.
Orphanet 2260 is Class.
Orphanet 2260 SubClassOf OrphaCode.
Orphanet 2261 is Class.
Orphanet 2261 SubClassOf OrphaCode.
Orphanet 226307 is Class.
Orphanet 226307 SubClassOf OrphaCode.
Orphanet 226313 is Class.
Orphanet 226313 SubClassOf OrphaCode.
Orphanet 226316 is Class.
Orphanet 226316 SubClassOf OrphaCode.
Orphanet 2266 is Class.
Orphanet 2266 SubClassOf OrphaCode.
Orphanet 2268 is Class.
Orphanet 2268 SubClassOf OrphaCode.
Orphanet 2269 is Class.
Orphanet 2269 SubClassOf OrphaCode.
Orphanet 227 is Class.
Orphanet 227 SubClassOf OrphaCode.
Orphanet 2271 is Class.
Orphanet 2271 SubClassOf OrphaCode.
Orphanet 2273 is Class.
Orphanet 2273 SubClassOf OrphaCode.
Orphanet 2274 is Class.
Orphanet 2274 SubClassOf OrphaCode.
Orphanet 227510 is Class.
Orphanet 227510 SubClassOf OrphaCode.
Orphanet 2278 is Class.
Orphanet 2278 SubClassOf OrphaCode.
Orphanet 227982 is Class.
Orphanet 227982 SubClassOf OrphaCode.
Orphanet 227990 is Class.
Orphanet 227990 SubClassOf OrphaCode.
Orphanet 228113 is Class.
Orphanet 228113 SubClassOf OrphaCode.
Orphanet 228116 is Class.
Orphanet 228116 SubClassOf OrphaCode.
Orphanet 228119 is Class.
Orphanet 228119 SubClassOf OrphaCode.
Orphanet 228123 is Class.
Orphanet 228123 SubClassOf OrphaCode.
Orphanet 228169 is Class.
Orphanet 228169 SubClassOf OrphaCode.
Orphanet 228190 is Class.
Orphanet 228190 SubClassOf OrphaCode.
Orphanet 2282 is Class.
Orphanet 2282 SubClassOf OrphaCode.
Orphanet 228240 is Class.
Orphanet 228240 SubClassOf OrphaCode.
Orphanet 228277 is Class.
Orphanet 228277 SubClassOf OrphaCode.
Orphanet 228302 is Class.
Orphanet 228302 SubClassOf OrphaCode.
Orphanet 228305 is Class.
Orphanet 228305 SubClassOf OrphaCode.
Orphanet 228308 is Class.
Orphanet 228308 SubClassOf OrphaCode.
Orphanet 228371 is Class.
Orphanet 228371 SubClassOf OrphaCode.
Orphanet 228384 is Class.
Orphanet 228384 SubClassOf OrphaCode.
Orphanet 228390 is Class.
Orphanet 228390 SubClassOf OrphaCode.
Orphanet 228396 is Class.
Orphanet 228396 SubClassOf OrphaCode.
Orphanet 228399 is Class.
Orphanet 228399 SubClassOf OrphaCode.
Orphanet 228402 is Class.
Orphanet 228402 SubClassOf OrphaCode.
Orphanet 228410 is Class.
Orphanet 228410 SubClassOf OrphaCode.
Orphanet 228415 is Class.
Orphanet 228415 SubClassOf OrphaCode.
Orphanet 228423 is Class.
Orphanet 228423 SubClassOf OrphaCode.
Orphanet 228426 is Class.
Orphanet 228426 SubClassOf OrphaCode.
Orphanet 2285 is Class.
Orphanet 2285 SubClassOf OrphaCode.
Orphanet 2287 is Class.
Orphanet 2287 SubClassOf OrphaCode.
Orphanet 2289 is Class.
Orphanet 2289 SubClassOf OrphaCode.
Orphanet 229 is Class.
Orphanet 229 SubClassOf OrphaCode.
Orphanet 2290 is Class.
Orphanet 2290 SubClassOf OrphaCode.
Orphanet 2291 is Class.
Orphanet 2291 SubClassOf OrphaCode.
Orphanet 2295 is Class.
Orphanet 2295 SubClassOf OrphaCode.
Orphanet 2297 is Class.
Orphanet 2297 SubClassOf OrphaCode.
Orphanet 229717 is Class.
Orphanet 229717 SubClassOf OrphaCode.
Orphanet 2298 is Class.
Orphanet 2298 SubClassOf OrphaCode.
Orphanet 2299 is Class.
Orphanet 2299 SubClassOf OrphaCode.
Orphanet 23 is Class.
Orphanet 23 SubClassOf OrphaCode.
Orphanet 230 is Class.
Orphanet 230 SubClassOf OrphaCode.
Orphanet 2300 is Class.
Orphanet 2300 SubClassOf OrphaCode.
Orphanet 2301 is Class.
