R(float,is,Datatype)
R(OMRSE_00000504,SubClassOf,OMRSE_00000506)
R(OMRSE_00000505,is,Class)
R(OMRSE_00000505,SubClassOf,OMRSE_00000506)
R(OMRSE_00000506,is,Class)
R(OMRSE_00000506,SubClassOf,IAO_0000027)
R(OMRSE_00000507,is,Class)
R(OMRSE_00000507,SubClassOf,OMRSE_00000133)
R(OMRSE_00002030,is,Class)
R(OMRSE_00002030,SubClassOf,IAO_0000005)
R(OMRSE_00002031,is,Class)
R(OMRSE_00002031,SubClassOf,IAO_0000104)
R(OMRSE_00002045,is,Class)
R(OMRSE_00002045,SubClassOf,OMRSE_00000506)
R(OOSTT_00000074,is,Class)
R(OOSTT_00000074,SubClassOf,IAO_0000030)
R(OOSTT_00000081,is,Class)
R(OOSTT_00000081,SubClassOf,OOSTT_00000074)
R(OOSTT_00000082,is,Class)
R(OOSTT_00000082,SubClassOf,OOSTT_00000074)
R(OOSTT_00000083,is,Class)
R(OOSTT_00000083,SubClassOf,OOSTT_00000074)
R(OOSTT_00000084,is,Class)
R(OOSTT_00000084,SubClassOf,OOSTT_00000083)
R(OOSTT_00000086,is,Class)
R(OOSTT_00000086,SubClassOf,OOSTT_00000082)
R(ORCS_00000028,is,Class)
R(ORCS_00000028,SubClassOf,OMRSE_00000098)
R(ORCS_00000033,is,Class)
R(ORCS_00000033,SubClassOf,IAO_0000030)
R(ORCS_00000034,is,Class)
R(ORCS_00000034,SubClassOf,IAO_0000030)
R(ORCS_00000040,is,Class)
R(ORCS_00000040,SubClassOf,OMRSE_00000100)
R(ORCS_00000041,is,Class)
R(ORCS_00000041,SubClassOf,IAO_0020000)
R(ORCS_00000047,is,Class)
R(ORCS_00000047,SubClassOf,ORCS_00000050)
R(ORCS_00000050,is,Class)
R(ORCS_00000050,SubClassOf,OMRSE_00000132)
R(ORCS_00000059,is,Class)
R(ORCS_00000059,SubClassOf,OMRSE_00000133)
R(ORCS_00000067,is,Class)
R(ORCS_00000067,SubClassOf,IAO_0020000)
R(ORCS_00000069,is,Class)
R(ORCS_00000069,SubClassOf,IAO_0000027)
R(ORCS_00000070,is,Class)
R(ORCS_00000070,SubClassOf,ORCS_00000069)
R(ORCS_00000071,is,Class)
R(ORCS_00000071,SubClassOf,ORCS_00000069)
R(ORCS_00000072,is,Class)
R(ORCS_00000072,SubClassOf,ORCS_00000069)
R(ORCS_00000073,is,Class)
R(ORCS_00000073,SubClassOf,ORCS_00000069)
R(ORCS_00000074,is,Class)
R(ORCS_00000074,SubClassOf,ORCS_00000069)
R(ORCS_00000075,is,Class)
R(ORCS_00000075,SubClassOf,ORCS_00000069)
R(ORCS_00000076,is,Class)
R(ORCS_00000076,SubClassOf,ORCS_00000069)
R(ORCS_00000077,is,Class)
R(ORCS_00000077,SubClassOf,ORCS_00000069)
R(ORCS_00000078,is,Class)
R(ORCS_00000078,SubClassOf,ORCS_00000069)
R(ORCS_00000079,is,Class)
R(ORCS_00000079,SubClassOf,ORCS_00000069)
R(ORCS_00000080,is,Class)
R(ORCS_00000080,SubClassOf,ORCS_00000069)
R(ORCS_00000081,is,Class)
R(ORCS_00000081,SubClassOf,IAO_0000027)
R(ORCS_00000082,is,Class)
R(ORCS_00000082,SubClassOf,ORCS_00000081)
R(ORCS_00000083,is,Class)
R(ORCS_00000083,SubClassOf,ORCS_00000081)
R(ORCS_00000091,is,Class)
R(ORCS_00000091,SubClassOf,OMRSE_00000205)
R(ORCS_00000094,is,Class)
R(ORCS_00000094,SubClassOf,OMRSE_00000209)
R(ORCS_00000124,is,Class)
R(ORCS_00000124,SubClassOf,OMRSE_00000213)
R(ORCS_00000131,is,Class)
R(ORCS_00000131,SubClassOf,OMRSE_00000220)
R(ORCS_00000136,is,Class)
R(ORCS_00000136,SubClassOf,IAO_0020000)
R(ORCS_00000137,is,Class)
R(ORCS_00000137,SubClassOf,ORCS_00000081)
R(ORCS_00000138,is,Class)
R(ORCS_00000138,SubClassOf,ORCS_00000081)
R(ORCS_00000139,is,Class)
R(ORCS_00000139,SubClassOf,ORCS_00000081)
R(ORCS_00000140,is,Class)
R(ORCS_00000140,SubClassOf,IAO_0020000)
R(ORCS_00000141,is,Class)
R(ORCS_00000141,SubClassOf,IAO_0020000)
R(ORCS_00000144,is,Class)
R(ORCS_00000144,SubClassOf,ORCS_00000069)
R(ORCS_00000146,is,Class)
R(ORCS_00000146,SubClassOf,IAO_0020000)
R(ORCS_00000152,is,Class)
R(ORCS_00000152,SubClassOf,ORCS_00000156)
R(ORCS_00000153,is,Class)
R(ORCS_00000153,SubClassOf,ORCS_00000156)
R(ORCS_00000156,is,Class)
R(ORCS_00000156,SubClassOf,IAO_0020000)
R(ORCS_00000157,is,Class)
R(ORCS_00000157,SubClassOf,ORCS_00000156)
R(ORCS_00000158,is,Class)
R(ORCS_00000158,SubClassOf,ORCS_00000156)
R(ORCS_00000159,is,Class)
R(ORCS_00000159,SubClassOf,ORCS_00000156)
R(ORCS_00000160,is,Class)
R(ORCS_00000160,SubClassOf,ORCS_00000156)
R(ORCS_00000161,is,Class)
R(ORCS_00000161,SubClassOf,ORCS_00000156)
R(ORCS_00000162,is,Class)
R(ORCS_00000162,SubClassOf,ORCS_00000156)
R(ORCS_00000163,is,Class)
R(ORCS_00000163,SubClassOf,ORCS_00000156)
R(ORCS_00000164,is,Class)
R(ORCS_00000164,SubClassOf,ORCS_00000156)
R(ORCS_00000165,is,Class)
R(ORCS_00000165,SubClassOf,ORCS_00000156)
R(PCO_0000020,is,Class)
R(UO_0000001,is,Class)
R(UO_0000001,SubClassOf,IAO_0000003)
R(UO_0000002,is,Class)
R(UO_0000002,SubClassOf,IAO_0000003)
R(UO_0000003,is,Class)
R(UO_0000003,SubClassOf,IAO_0000003)
R(www.w3.org/2002/07/#,is,Class)
R(NCIT_C128691,is,Individual)
R(NCIT_C128691,Types,IAO_0020020)
R(NCIT_C49469,is,Individual)
R(NCIT_C49469,Types,IAO_0020020)
R(NCIT_C71891,is,Individual)
R(NCIT_C71891,Types,IAO_0020020)
R(ORCS_00000016,is,Individual)
R(ORCS_00000016,Types,IAO_0020000)
R(ORCS_00000122,is,Individual)
R(ORCS_00000122,Types,IAO_0000028)
R(ORCS_00000166,is,Individual)
R(ORCS_00000166,Types,IAO_0020020)
R(ORCS_00000167,is,Individual)
R(ORCS_00000167,Types,IAO_0020020)
R(ORCS_00000168,is,Individual)
R(ORCS_00000168,Types,IAO_0020020)
R(ORCS_00000169,is,Individual)
R(ORCS_00000169,Types,IAO_0020020)
