R(namespacestring,is,Datatype)
R(CHEBI_190427,SubClassOf,CDNO_0000029)
R(CHEBI_190428,is,Class)
R(CHEBI_190428,SubClassOf,CDNO_0000029)
R(CHEBI_190429,is,Class)
R(CHEBI_190429,SubClassOf,CDNO_0000029)
R(CHEBI_190430,is,Class)
R(CHEBI_190430,SubClassOf,CDNO_0000030)
R(CHEBI_190431,is,Class)
R(CHEBI_190431,SubClassOf,CDNO_0000030)
R(CHEBI_190496,is,Class)
R(CHEBI_190496,SubClassOf,CDNO_0000012)
R(CHEBI_190515,is,Class)
R(CHEBI_190515,SubClassOf,CDNO_0000015)
R(CHEBI_190516,is,Class)
R(CHEBI_190516,SubClassOf,CDNO_0000018)
R(CHEBI_190517,is,Class)
R(CHEBI_190517,SubClassOf,CDNO_0000026)
R(CHEBI_190519,is,Class)
R(CHEBI_190519,SubClassOf,CHEBI_36080)
R(CHEBI_190521,is,Class)
R(CHEBI_190521,SubClassOf,CDNO_0000009)
R(CHEBI_190522,is,Class)
R(CHEBI_190522,SubClassOf,CHEBI_36080)
R(CHEBI_192499,is,Class)
R(CHEBI_192499,SubClassOf,CHEBI_47916)
R(CHEBI_192500,is,Class)
R(CHEBI_192501,is,Class)
R(CHEBI_192501,SubClassOf,CHEBI_23909)
R(CHEBI_20106,is,Class)
R(CHEBI_20106,SubClassOf,CHEBI_33853)
R(CHEBI_2120,is,Class)
R(CHEBI_2120,SubClassOf,CHEBI_33570)
R(CHEBI_22315,is,Class)
R(CHEBI_22315,SubClassOf,CHEBI_72544)
R(CHEBI_22470,is,Class)
R(CHEBI_22470,SubClassOf,CHEBI_27013)
R(CHEBI_22580,is,Class)
R(CHEBI_22580,SubClassOf,CHEBI_72544)
R(CHEBI_22590,is,Class)
R(CHEBI_22590,SubClassOf,CHEBI_18154)
R(CHEBI_22599,is,Class)
R(CHEBI_22599,SubClassOf,CHEBI_35381)
R(CHEBI_22652,is,Class)
R(CHEBI_22652,SubClassOf,CHEBI_64709)
R(CHEBI_22653,is,Class)
R(CHEBI_22653,SubClassOf,CHEBI_33709)
R(CHEBI_22660,is,Class)
R(CHEBI_22660,SubClassOf,CHEBI_33709)
R(CHEBI_22707,is,Class)
R(CHEBI_22707,SubClassOf,CHEBI_33853)
R(CHEBI_23042,is,Class)
R(CHEBI_23055,is,Class)
R(CHEBI_23055,SubClassOf,CHEBI_89634)
R(CHEBI_23086,is,Class)
R(CHEBI_23086,SubClassOf,CHEBI_47916)
R(CHEBI_23401,is,Class)
R(CHEBI_23401,SubClassOf,CHEBI_24689)
R(CHEBI_23456,is,Class)
R(CHEBI_23456,SubClassOf,CHEBI_25140)
R(CHEBI_23652,is,Class)
R(CHEBI_23652,SubClassOf,CHEBI_37163)
R(CHEBI_2366,is,Class)
R(CHEBI_2366,SubClassOf,CHEBI_26873)
R(CHEBI_23849,is,Class)
R(CHEBI_23849,SubClassOf,CHEBI_26873)
R(CHEBI_23909,is,Class)
R(CHEBI_24174,is,Class)
R(CHEBI_24174,SubClassOf,CHEBI_18154)
R(CHEBI_24278,is,Class)
R(CHEBI_24278,SubClassOf,CHEBI_50753)
R(CHEBI_24279,is,Class)
R(CHEBI_24279,SubClassOf,CHEBI_72544)
R(CHEBI_24385,is,Class)
R(CHEBI_24385,SubClassOf,CHEBI_33563)
R(CHEBI_24673,is,Class)
R(CHEBI_24673,SubClassOf,CHEBI_33853)
R(CHEBI_24676,is,Class)
R(CHEBI_24676,SubClassOf,CHEBI_166890)
R(CHEBI_24689,is,Class)
R(CHEBI_24698,is,Class)
R(CHEBI_24741,is,Class)
R(CHEBI_24741,SubClassOf,CHEBI_33709)
R(CHEBI_24840,is,Class)
R(CHEBI_24840,SubClassOf,CDNO_0000021)
R(CHEBI_24848,is,Class)
R(CHEBI_24848,SubClassOf,CDNO_0000013)
R(CHEBI_24866,is,Class)
R(CHEBI_24866,SubClassOf,CDNO_0000001)
R(CHEBI_24898,is,Class)
R(CHEBI_24898,SubClassOf,CHEBI_33709)
R(CHEBI_24913,is,Class)
R(CHEBI_24913,SubClassOf,CHEBI_18059)
R(CHEBI_24973,is,Class)
R(CHEBI_24973,SubClassOf,CHEBI_24978)
R(CHEBI_24978,is,Class)
R(CHEBI_24978,SubClassOf,CHEBI_35381)
R(CHEBI_25017,is,Class)
R(CHEBI_25017,SubClassOf,CHEBI_33709)
R(CHEBI_25094,is,Class)
R(CHEBI_25094,SubClassOf,CHEBI_33709)
R(CHEBI_25140,is,Class)
R(CHEBI_25322,is,Class)
R(CHEBI_25322,SubClassOf,CDNO_0000012)
R(CHEBI_25409,is,Class)
R(CHEBI_25409,SubClassOf,CHEBI_26873)
R(CHEBI_25413,is,Class)
R(CHEBI_25413,SubClassOf,CHEBI_35366)
R(CHEBI_25459,is,Class)
R(CHEBI_25459,SubClassOf,CHEBI_26873)
R(CHEBI_25481,is,Class)
R(CHEBI_25481,SubClassOf,CHEBI_72544)
R(CHEBI_25555,is,Class)
R(CHEBI_25555,SubClassOf,CDNO_0000011)
R(CHEBI_25681,is,Class)
R(CHEBI_25681,SubClassOf,CHEBI_26208)
R(CHEBI_25704,is,Class)
R(CHEBI_25704,SubClassOf,CDNO_0000021)
R(CHEBI_25863,is,Class)
R(CHEBI_25863,SubClassOf,CHEBI_47916)
R(CHEBI_26004,is,Class)
R(CHEBI_26078,is,Class)
R(CHEBI_26078,SubClassOf,CDNO_0000018)
R(CHEBI_26125,is,Class)
R(CHEBI_26125,SubClassOf,CHEBI_15889)
R(CHEBI_26191,is,Class)
R(CHEBI_26191,SubClassOf,CDNO_0000013,)
R(CHEBI_26191,SubClassOf,CHEBI_16646)
R(CHEBI_26195,is,Class)
R(CHEBI_26195,SubClassOf,CHEBI_33853)
R(CHEBI_26208,is,Class)
R(CHEBI_26208,SubClassOf,CHEBI_35366)
R(CHEBI_26267,is,Class)
R(CHEBI_26267,SubClassOf,CHEBI_47916)
R(CHEBI_26271,is,Class)
R(CHEBI_26271,SubClassOf,CHEBI_33709)
R(CHEBI_26377,is,Class)
R(CHEBI_26377,SubClassOf,CHEBI_50753)
R(CHEBI_26493,is,Class)
R(CHEBI_26493,SubClassOf,CHEBI_64709)
R(CHEBI_26543,is,Class)
R(CHEBI_26543,SubClassOf,CHEBI_24174)
R(CHEBI_26546,is,Class)
R(CHEBI_26546,SubClassOf,CHEBI_35381)
R(CHEBI_26607,is,Class)
R(CHEBI_26607,SubClassOf,CHEBI_35366)
R(CHEBI_26658,is,Class)
R(CHEBI_26658,SubClassOf,CHEBI_26873)
R(CHEBI_26660,is,Class)
R(CHEBI_26660,SubClassOf,CHEBI_26873)
R(CHEBI_26667,is,Class)
R(CHEBI_26667,SubClassOf,CHEBI_16646)
R(CHEBI_26710,is,Class)
R(CHEBI_26710,SubClassOf,CHEBI_24866,)
R(CHEBI_26710,SubClassOf,CHEBI_36093,)
R(CHEBI_26710,SubClassOf,CHEBI_38702)
R(CHEBI_26775,is,Class)
R(CHEBI_26775,SubClassOf,CDNO_0000013)
R(CHEBI_26776,is,Class)
R(CHEBI_26776,SubClassOf,CHEBI_26775)
R(CHEBI_26848,is,Class)
R(CHEBI_26848,SubClassOf,CHEBI_26195)
R(CHEBI_26849,is,Class)
R(CHEBI_26849,SubClassOf,CHEBI_64709)
R(CHEBI_26873,is,Class)
R(CHEBI_26873,SubClassOf,CHEBI_24913,)
R(CHEBI_26873,SubClassOf,CHEBI_72544)
R(CHEBI_26935,is,Class)
R(CHEBI_26935,SubClassOf,CHEBI_26873)
R(CHEBI_26948,is,Class)
R(CHEBI_26948,SubClassOf,CHEBI_75769)
R(CHEBI_26986,is,Class)
R(CHEBI_26986,SubClassOf,CHEBI_33709)
R(CHEBI_27013,is,Class)
R(CHEBI_27013,SubClassOf,CHEBI_33234)
R(CHEBI_27082,is,Class)
R(CHEBI_27082,SubClassOf,CHEBI_36233)
R(CHEBI_27266,is,Class)
R(CHEBI_27266,SubClassOf,CHEBI_33709)
R(CHEBI_27300,is,Class)
R(CHEBI_27300,SubClassOf,CDNO_0000014)
R(CHEBI_27306,is,Class)
R(CHEBI_27306,SubClassOf,CHEBI_75769)
R(CHEBI_27408,is,Class)
R(CHEBI_27408,SubClassOf,CHEBI_26873)
R(CHEBI_27470,is,Class)
R(CHEBI_27470,SubClassOf,CHEBI_176842)
R(CHEBI_27570,is,Class)
R(CHEBI_27570,SubClassOf,CHEBI_33709)
R(CHEBI_27632,is,Class)
R(CHEBI_27632,SubClassOf,CHEBI_51867)
R(CHEBI_27680,is,Class)
R(CHEBI_27680,SubClassOf,CHEBI_18154)
R(CHEBI_27693,is,Class)
R(CHEBI_27693,SubClassOf,CHEBI_26125)
R(CHEBI_27732,is,Class)
R(CHEBI_27732,SubClassOf,CHEBI_22315)
R(CHEBI_27774,is,Class)
R(CHEBI_27774,SubClassOf,CHEBI_26873)
R(CHEBI_27781,is,Class)
R(CHEBI_27781,SubClassOf,CHEBI_25413)
R(CHEBI_27810,is,Class)
R(CHEBI_27810,SubClassOf,CHEBI_33570)
R(CHEBI_27843,is,Class)
R(CHEBI_27843,SubClassOf,CHEBI_47916)
R(CHEBI_27881,is,Class)
R(CHEBI_27881,SubClassOf,CHEBI_26776)
R(CHEBI_27897,is,Class)
R(CHEBI_27897,SubClassOf,CHEBI_33709)
R(CHEBI_27949,is,Class)
R(CHEBI_27949,SubClassOf,CHEBI_33853)
R(CHEBI_27956,is,Class)
R(CHEBI_27956,SubClassOf,CHEBI_22652)
R(CHEBI_27961,is,Class)
R(CHEBI_27961,SubClassOf,CHEBI_26873)
R(CHEBI_27997,is,Class)
R(CHEBI_27997,SubClassOf,CHEBI_25413)
R(CHEBI_28017,is,Class)
R(CHEBI_28017,SubClassOf,CDNO_0000003,)
R(CHEBI_28017,SubClassOf,CHEBI_18154)
R(CHEBI_28044,is,Class)
R(CHEBI_28044,SubClassOf,CHEBI_33709)
R(CHEBI_28057,is,Class)
R(CHEBI_28057,SubClassOf,CHEBI_18154)
R(CHEBI_28093,is,Class)
R(CHEBI_28093,SubClassOf,CHEBI_26873)
R(CHEBI_28102,is,Class)
R(CHEBI_28102,SubClassOf,CHEBI_18154)
R(CHEBI_28177,is,Class)
R(CHEBI_28177,SubClassOf,CHEBI_22315)
R(CHEBI_28260,is,Class)
R(CHEBI_28260,SubClassOf,CDNO_0000004,)
R(CHEBI_28260,SubClassOf,CHEBI_35381)
R(CHEBI_28300,is,Class)
R(CHEBI_28300,SubClassOf,CHEBI_33709)
R(CHEBI_28346,is,Class)
R(CHEBI_28346,SubClassOf,CHEBI_22315)
R(CHEBI_28384,is,Class)
R(CHEBI_28384,SubClassOf,CDNO_0000014)
R(CHEBI_28412,is,Class)
R(CHEBI_28425,is,Class)
R(CHEBI_28425,SubClassOf,CHEBI_23042)
R(CHEBI_28427,is,Class)
R(CHEBI_28427,SubClassOf,CHEBI_61266)
R(CHEBI_28436,is,Class)
R(CHEBI_28436,SubClassOf,CHEBI_47916)
R(CHEBI_28478,is,Class)
R(CHEBI_28478,SubClassOf,CHEBI_33853)
R(CHEBI_28586,is,Class)
R(CHEBI_28586,SubClassOf,CHEBI_74961)
R(CHEBI_28591,is,Class)
R(CHEBI_28591,SubClassOf,CHEBI_33853)
R(CHEBI_28623,is,Class)
R(CHEBI_28623,SubClassOf,CHEBI_26125)
R(CHEBI_28716,is,Class)
R(CHEBI_28716,SubClassOf,CHEBI_25413)
R(CHEBI_28757,is,Class)
R(CHEBI_28757,SubClassOf,CDNO_0000004,)
R(CHEBI_28757,SubClassOf,CHEBI_35381)
R(CHEBI_28790,is,Class)
R(CHEBI_28790,SubClassOf,CHEBI_33853)
R(CHEBI_28792,is,Class)
R(CHEBI_28792,SubClassOf,CHEBI_25413)
R(CHEBI_28796,is,Class)
R(CHEBI_28796,SubClassOf,CDNO_0000008,)
R(CHEBI_28796,SubClassOf,CHEBI_18154)
R(CHEBI_28808,is,Class)
R(CHEBI_28808,SubClassOf,CHEBI_61266)
R(CHEBI_28814,is,Class)
R(CHEBI_28814,SubClassOf,CHEBI_26195)
R(CHEBI_28821,is,Class)
R(CHEBI_28821,SubClassOf,CHEBI_22315)
R(CHEBI_28822,is,Class)
R(CHEBI_28822,SubClassOf,CHEBI_26607)
R(CHEBI_28824,is,Class)
R(CHEBI_28824,SubClassOf,CHEBI_26125)
R(CHEBI_28837,is,Class)
R(CHEBI_28837,SubClassOf,CHEBI_26607)
R(CHEBI_28842,is,Class)
R(CHEBI_28842,SubClassOf,CHEBI_26607)
R(CHEBI_28866,is,Class)
R(CHEBI_28866,SubClassOf,CHEBI_26607)
R(CHEBI_28869,is,Class)
R(CHEBI_28869,SubClassOf,CHEBI_28384)
R(CHEBI_28874,is,Class)
R(CHEBI_28874,SubClassOf,CHEBI_16247,)
R(CHEBI_28874,SubClassOf,CHEBI_190516)
R(CHEBI_28875,is,Class)
R(CHEBI_28875,SubClassOf,CHEBI_26607)
R(CHEBI_28917,is,Class)
R(CHEBI_28917,SubClassOf,CHEBI_192500)
R(CHEBI_28934,is,Class)
R(CHEBI_28934,SubClassOf,CHEBI_27300)
R(CHEBI_28940,is,Class)
R(CHEBI_28940,SubClassOf,CHEBI_73558)
R(CHEBI_28941,is,Class)
R(CHEBI_28941,SubClassOf,CHEBI_26607)
R(CHEBI_28946,is,Class)
R(CHEBI_28946,SubClassOf,CHEBI_22315)
R(CHEBI_29016,is,Class)
R(CHEBI_29016,SubClassOf,CHEBI_33709)
R(CHEBI_29033,is,Class)
R(CHEBI_29033,SubClassOf,CDNO_0000026)
R(CHEBI_29036,is,Class)
R(CHEBI_29036,SubClassOf,CDNO_0000023)
R(CHEBI_29041,is,Class)
R(CHEBI_29041,SubClassOf,CDNO_0000027)
R(CHEBI_29073,is,Class)
R(CHEBI_29073,SubClassOf,CHEBI_176783,)
R(CHEBI_29073,SubClassOf,CHEBI_22652)
R(CHEBI_29101,is,Class)
R(CHEBI_29101,SubClassOf,CDNO_0000020)
R(CHEBI_29103,is,Class)
R(CHEBI_29103,SubClassOf,CDNO_0000019)
R(CHEBI_29105,is,Class)
R(CHEBI_29105,SubClassOf,CDNO_0000030)
R(CHEBI_29108,is,Class)
R(CHEBI_29108,SubClassOf,CDNO_0000015)
R(CHEBI_29222,is,Class)
R(CHEBI_29222,SubClassOf,CHEBI_17996)
R(CHEBI_29256,is,Class)
R(CHEBI_29256,SubClassOf,CHEBI_33261)
R(CHEBI_2961,is,Class)
R(CHEBI_2961,SubClassOf,CHEBI_26873)
R(CHEBI_29864,is,Class)
R(CHEBI_29864,SubClassOf,CHEBI_26191)
R(CHEBI_30168,is,Class)
R(CHEBI_30168,SubClassOf,CDNO_0000012)
R(CHEBI_30248,is,Class)
R(CHEBI_30248,SubClassOf,CHEBI_50699)
R(CHEBI_30475,is,Class)
R(CHEBI_30475,SubClassOf,CDNO_0000012)
R(CHEBI_30744,is,Class)
R(CHEBI_30744,SubClassOf,CHEBI_64709)
R(CHEBI_30745,is,Class)
R(CHEBI_30745,SubClassOf,CHEBI_166890)
R(CHEBI_30763,is,Class)
R(CHEBI_30763,SubClassOf,CHEBI_24676)
R(CHEBI_30764,is,Class)
R(CHEBI_30764,SubClassOf,CHEBI_24676)
R(CHEBI_30768,is,Class)
R(CHEBI_30768,SubClassOf,CHEBI_26607)
R(CHEBI_30769,is,Class)
R(CHEBI_30769,SubClassOf,CHEBI_64709)
R(CHEBI_30778,is,Class)
R(CHEBI_30778,SubClassOf,CHEBI_24676)
R(CHEBI_30794,is,Class)
R(CHEBI_30794,SubClassOf,CHEBI_64709)
R(CHEBI_30805,is,Class)
R(CHEBI_30805,SubClassOf,CHEBI_26607)
R(CHEBI_30814,is,Class)
R(CHEBI_30814,SubClassOf,CHEBI_22707)
R(CHEBI_30816,is,Class)
R(CHEBI_30816,SubClassOf,CHEBI_24676)
R(CHEBI_30887,is,Class)
R(CHEBI_30887,SubClassOf,CHEBI_64709)
R(CHEBI_30911,is,Class)
R(CHEBI_30911,SubClassOf,CHEBI_26191)
R(CHEBI_310312,is,Class)
R(CHEBI_310312,SubClassOf,CHEBI_47916)
R(CHEBI_3168,is,Class)
R(CHEBI_3168,SubClassOf,CHEBI_26125)
R(CHEBI_32365,is,Class)
R(CHEBI_32365,SubClassOf,CHEBI_26607)
R(CHEBI_32425,is,Class)
R(CHEBI_32425,SubClassOf,CHEBI_25413)
R(CHEBI_32816,is,Class)
R(CHEBI_32816,SubClassOf,CHEBI_64709)
R(CHEBI_32980,is,Class)
R(CHEBI_32980,SubClassOf,CHEBI_64709)
R(CHEBI_33004,is,Class)
R(CHEBI_33004,SubClassOf,CDNO_0000012)
R(CHEBI_33006,is,Class)
R(CHEBI_33006,SubClassOf,CDNO_0000022)
R(CHEBI_33229,is,Class)
R(CHEBI_33234,is,Class)
R(CHEBI_33234,SubClassOf,CDNO_0000014)
R(CHEBI_33235,is,Class)
R(CHEBI_33235,SubClassOf,CHEBI_33234)
R(CHEBI_33237,is,Class)
R(CHEBI_33237,SubClassOf,CHEBI_27300)
R(CHEBI_33261,is,Class)
R(CHEBI_33261,SubClassOf,CDNO_0000021)
R(CHEBI_33270,is,Class)
R(CHEBI_33270,SubClassOf,CHEBI_33235)
R(CHEBI_33275,is,Class)
R(CHEBI_33275,SubClassOf,CHEBI_33235)
R(CHEBI_33276,is,Class)
R(CHEBI_33276,SubClassOf,CHEBI_33235)
R(CHEBI_33277,is,Class)
R(CHEBI_33277,SubClassOf,CHEBI_33235)
R(CHEBI_33279,is,Class)
R(CHEBI_33279,SubClassOf,CHEBI_27300)
R(CHEBI_33468,is,Class)
R(CHEBI_33468,SubClassOf,CDNO_0000018)
R(CHEBI_33563,is,Class)
R(CHEBI_33563,SubClassOf,CHEBI_18059)
R(CHEBI_33570,is,Class)
R(CHEBI_33570,SubClassOf,CHEBI_33853)
R(CHEBI_33709,is,Class)
R(CHEBI_33709,SubClassOf,CDNO_0000001)
R(CHEBI_3374,is,Class)
R(CHEBI_3374,SubClassOf,CHEBI_18059,)
R(CHEBI_3374,SubClassOf,CHEBI_22315)
R(CHEBI_33830,is,Class)
R(CHEBI_33830,SubClassOf,CHEBI_35381)
R(CHEBI_33853,is,Class)
R(CHEBI_33853,SubClassOf,CDNO_0000013)
R(CHEBI_33942,is,Class)
R(CHEBI_33942,SubClassOf,CHEBI_35381)
R(CHEBI_33984,is,Class)
R(CHEBI_33984,SubClassOf,CHEBI_35381)
R(CHEBI_3435,is,Class)
R(CHEBI_3435,SubClassOf,CDNO_0000031)
R(CHEBI_34741,is,Class)
R(CHEBI_34741,SubClassOf,CHEBI_50753)
R(CHEBI_35104,is,Class)
R(CHEBI_35104,SubClassOf,CDNO_0000012)
R(CHEBI_35143,is,Class)
R(CHEBI_35143,SubClassOf,CHEBI_36080)
R(CHEBI_35186,is,Class)
R(CHEBI_35186,SubClassOf,CHEBI_24913)
R(CHEBI_35193,is,Class)
R(CHEBI_35193,SubClassOf,CHEBI_35186)
R(CHEBI_35218,is,Class)
R(CHEBI_35218,SubClassOf,CHEBI_47916)
R(CHEBI_35366,is,Class)
R(CHEBI_35366,SubClassOf,CHEBI_18059)
R(CHEBI_35381,is,Class)
R(CHEBI_35381,SubClassOf,CHEBI_16646)
R(CHEBI_35828,is,Class)
R(CHEBI_35828,SubClassOf,CDNO_0000012)
R(CHEBI_36009,is,Class)
R(CHEBI_36009,SubClassOf,CHEBI_26208)
R(CHEBI_36011,is,Class)
R(CHEBI_36011,SubClassOf,CHEBI_36027)
R(CHEBI_36023,is,Class)
R(CHEBI_36023,SubClassOf,CHEBI_25413)
R(CHEBI_36027,is,Class)
R(CHEBI_36027,SubClassOf,CHEBI_33853)
R(CHEBI_36080,is,Class)
R(CHEBI_36080,SubClassOf,CDNO_0000001)
R(CHEBI_36080,DisjointWith,CHEBI_16374)
R(CHEBI_36090,is,Class)
R(CHEBI_36090,SubClassOf,CHEBI_23401)
R(CHEBI_36093,is,Class)
R(CHEBI_36093,SubClassOf,CHEBI_17996)
R(CHEBI_36094,is,Class)
R(CHEBI_36094,SubClassOf,CHEBI_17996)
R(CHEBI_36122,is,Class)
R(CHEBI_36122,SubClassOf,CHEBI_38698)
R(CHEBI_36233,is,Class)
R(CHEBI_36233,SubClassOf,CHEBI_16646)
R(CHEBI_36615,is,Class)
R(CHEBI_36615,SubClassOf,CHEBI_26873)
R(CHEBI_36683,is,Class)
R(CHEBI_36683,SubClassOf,CHEBI_17996)
R(CHEBI_36799,is,Class)
R(CHEBI_36799,SubClassOf,CHEBI_15889)
R(CHEBI_37136,is,Class)
R(CHEBI_37136,SubClassOf,CDNO_0000012)
R(CHEBI_37163,is,Class)
R(CHEBI_37163,SubClassOf,CHEBI_18154)
R(CHEBI_37165,is,Class)
R(CHEBI_37165,SubClassOf,CHEBI_18154)
R(CHEBI_37166,is,Class)
R(CHEBI_37166,SubClassOf,CHEBI_61266)
R(CHEBI_37317,is,Class)
R(CHEBI_37317,SubClassOf,CDNO_0000012)
R(CHEBI_37684,is,Class)
R(CHEBI_37684,SubClassOf,CHEBI_35381)
R(CHEBI_37946,is,Class)
R(CHEBI_37946,SubClassOf,CHEBI_33853)
R(CHEBI_3815,is,Class)
R(CHEBI_3815,SubClassOf,CHEBI_36080)
R(CHEBI_38672,is,Class)
R(CHEBI_38672,SubClassOf,CHEBI_47916)
R(CHEBI_38695,is,Class)
R(CHEBI_38695,SubClassOf,CHEBI_47916)
R(CHEBI_38697,is,Class)
R(CHEBI_38697,SubClassOf,CHEBI_47916)
R(CHEBI_38698,is,Class)
R(CHEBI_38700,is,Class)
R(CHEBI_38700,SubClassOf,CDNO_0000020)
R(CHEBI_38702,is,Class)
R(CHEBI_38702,SubClassOf,CDNO_0000020)
R(CHEBI_38755,is,Class)
R(CHEBI_38757,is,Class)
R(CHEBI_38757,SubClassOf,CHEBI_50753)
R(CHEBI_3962,is,Class)
R(CHEBI_3962,SubClassOf,CHEBI_26195)
R(CHEBI_39912,is,Class)
R(CHEBI_39912,SubClassOf,CHEBI_33570)
R(CHEBI_40,is,Class)
R(CHEBI_40,SubClassOf,CHEBI_26195)
R(CHEBI_4019,is,Class)
R(CHEBI_4019,SubClassOf,CHEBI_50753)
R(CHEBI_41941,is,Class)
R(CHEBI_41941,SubClassOf,CHEBI_18135)
R(CHEBI_42111,is,Class)
R(CHEBI_42111,SubClassOf,CHEBI_78320)
R(CHEBI_422,is,Class)
R(CHEBI_422,SubClassOf,CHEBI_78320)
R(CHEBI_42223,is,Class)
R(CHEBI_42223,SubClassOf,CHEBI_22580)
R(CHEBI_42438,is,Class)
R(CHEBI_42438,SubClassOf,CHEBI_33853)
R(CHEBI_42504,is,Class)
R(CHEBI_42504,SubClassOf,CHEBI_26607)
R(CHEBI_42680,is,Class)
R(CHEBI_42680,SubClassOf,CHEBI_26195)
R(CHEBI_4308,is,Class)
R(CHEBI_4308,SubClassOf,CHEBI_47916)
R(CHEBI_44247,is,Class)
R(CHEBI_44247,SubClassOf,CHEBI_25413)
R(CHEBI_46905,is,Class)
R(CHEBI_46905,SubClassOf,CHEBI_176840)
R(CHEBI_4767,is,Class)
R(CHEBI_4767,SubClassOf,CHEBI_36080)
R(CHEBI_47771,is,Class)
R(CHEBI_47771,SubClassOf,CHEBI_27013)
R(CHEBI_47772,is,Class)
R(CHEBI_47772,SubClassOf,CHEBI_27013)
R(CHEBI_47916,is,Class)
R(CHEBI_47916,SubClassOf,CHEBI_72544)
R(CHEBI_47925,is,Class)
R(CHEBI_47925,SubClassOf,CHEBI_23401)
R(CHEBI_47964,is,Class)
R(CHEBI_47964,SubClassOf,CHEBI_47916)
R(CHEBI_48039,is,Class)
R(CHEBI_48039,SubClassOf,CHEBI_47916)
R(CHEBI_4806,is,Class)
R(CHEBI_4806,SubClassOf,CHEBI_26195,)
R(CHEBI_4806,SubClassOf,CHEBI_51149)
R(CHEBI_48607,is,Class)
R(CHEBI_48607,SubClassOf,CHEBI_36093)
R(CHEBI_48775,is,Class)
R(CHEBI_48775,SubClassOf,CDNO_0000012)
R(CHEBI_48828,is,Class)
R(CHEBI_48828,SubClassOf,CDNO_0000012)
R(CHEBI_49105,is,Class)
R(CHEBI_49105,SubClassOf,CHEBI_26948)
R(CHEBI_4917,is,Class)
R(CHEBI_4917,SubClassOf,CHEBI_33853)
R(CHEBI_49414,is,Class)
R(CHEBI_49414,SubClassOf,CDNO_0000028)
R(CHEBI_49446,is,Class)
R(CHEBI_49446,SubClassOf,CDNO_0000028)
R(CHEBI_49470,is,Class)
R(CHEBI_49470,SubClassOf,CDNO_0000012)
R(CHEBI_49547,is,Class)
R(CHEBI_49547,SubClassOf,CDNO_0000012)
R(CHEBI_49713,is,Class)
R(CHEBI_49713,SubClassOf,CDNO_0000012)
R(CHEBI_49786,is,Class)
R(CHEBI_49786,SubClassOf,CDNO_0000012)
R(CHEBI_49807,is,Class)
R(CHEBI_49807,SubClassOf,CDNO_0000012)
R(CHEBI_49847,is,Class)
R(CHEBI_49847,SubClassOf,CDNO_0000012)
R(CHEBI_49867,is,Class)
R(CHEBI_49867,SubClassOf,CDNO_0000012)
R(CHEBI_50128,is,Class)
R(CHEBI_50128,SubClassOf,CHEBI_72544)
R(CHEBI_50205,is,Class)
R(CHEBI_50205,SubClassOf,CHEBI_33570)
R(CHEBI_50394,is,Class)
R(CHEBI_50394,SubClassOf,CDNO_0000019)
R(CHEBI_5054,is,Class)
R(CHEBI_5054,SubClassOf,CHEBI_36080)
R(CHEBI_50699,is,Class)
R(CHEBI_50699,SubClassOf,CHEBI_16646)
R(CHEBI_50753,is,Class)
R(CHEBI_50753,SubClassOf,CHEBI_72544)
R(CHEBI_51031,is,Class)
R(CHEBI_51031,SubClassOf,CDNO_0000015)
R(CHEBI_51084,is,Class)
R(CHEBI_51084,SubClassOf,CHEBI_24866)
R(CHEBI_51149,is,Class)
R(CHEBI_51149,SubClassOf,CHEBI_72544)
R(CHEBI_51867,is,Class)
R(CHEBI_51867,SubClassOf,CHEBI_72544)
R(CHEBI_52221,is,Class)
R(CHEBI_52221,SubClassOf,CHEBI_33261)
R(CHEBI_5325,is,Class)
R(CHEBI_5325,SubClassOf,CHEBI_33853)
R(CHEBI_5396,is,Class)
R(CHEBI_5396,SubClassOf,CHEBI_24279)
R(CHEBI_5399,is,Class)
R(CHEBI_5399,SubClassOf,CHEBI_24279)
R(CHEBI_5402,is,Class)
R(CHEBI_5402,SubClassOf,CHEBI_24279)
R(CHEBI_5404,is,Class)
R(CHEBI_5404,SubClassOf,CHEBI_24279)
R(CHEBI_5407,is,Class)
R(CHEBI_5407,SubClassOf,CHEBI_24279)
R(CHEBI_5411,is,Class)
R(CHEBI_5411,SubClassOf,CHEBI_24279)
R(CHEBI_5412,is,Class)
R(CHEBI_5412,SubClassOf,CHEBI_24279)
R(CHEBI_5413,is,Class)
R(CHEBI_5413,SubClassOf,CHEBI_24279)
R(CHEBI_5414,is,Class)
R(CHEBI_5414,SubClassOf,CHEBI_24279)
R(CHEBI_5416,is,Class)
R(CHEBI_5416,SubClassOf,CHEBI_24279)
R(CHEBI_5623,is,Class)
R(CHEBI_5623,SubClassOf,CHEBI_22315)
R(CHEBI_5764,is,Class)
R(CHEBI_5764,SubClassOf,CHEBI_22315)
R(CHEBI_5769,is,Class)
R(CHEBI_5769,SubClassOf,CHEBI_26191)
R(CHEBI_59265,is,Class)
R(CHEBI_59265,SubClassOf,CHEBI_25413)
R(CHEBI_5985,is,Class)
R(CHEBI_5985,SubClassOf,CHEBI_22315)
R(CHEBI_59979,is,Class)
R(CHEBI_59979,SubClassOf,CHEBI_24698)
R(CHEBI_60479,is,Class)
R(CHEBI_60479,SubClassOf,CHEBI_16247,)
R(CHEBI_60479,SubClassOf,CHEBI_190516)
