R(www.obofoundry.org/ro/ro.#,is,ObjectProperty)
R(sao561419532,SubClassOf,sao624292949)
R(sao5764355747,is,Class)
R(sao5764355747,SubClassOf,sao1894609662)
R(sao577473346,is,Class)
R(sao577473346,SubClassOf,sao180601769)
R(sao585356902,is,Class)
R(sao585356902,SubClassOf,sao414196390)
R(sao587858733,is,Class)
R(sao587858733,SubClassOf,sao205380252)
R(sao601362597,is,Class)
R(sao601362597,SubClassOf,sao-867568886)
R(sao624292949,is,Class)
R(sao624292949,SubClassOf,sao628508602)
R(sao628508602,is,Class)
R(sao628508602,SubClassOf,sao-1337158144)
R(sao628508602,DisjointWith,sao830981606)
R(sao628508602,DisjointWith,sao787716553)
R(sao628508602,DisjointWith,sao730872736)
R(sao628508602,DisjointWith,sao221389602)
R(sao628508602,DisjointWith,sao1969557946)
R(sao628508602,DisjointWith,sao1938587839)
R(sao628508602,DisjointWith,sao1784069613)
R(sao628508602,DisjointWith,sao1663586795)
R(sao628508602,DisjointWith,sao1635329413)
R(sao628508602,DisjointWith,sao1539965131)
R(sao628508602,DisjointWith,sao1397492660)
R(sao628508602,DisjointWith,sao120573470)
R(sao628508602,DisjointWith,sao11978067)
R(sao628508602,DisjointWith,sao1081228141)
R(sao628508602,DisjointWith,sao101633890)
R(sao632188024,is,Class)
R(sao632188024,SubClassOf,sao1546288504)
R(sao632188024,DisjointWith,sao9456487)
R(sao632188024,DisjointWith,sao138219748)
R(sao632188024,DisjointWith,sao1039242387)
R(sao6433132645,is,Class)
R(sao6433132645,SubClassOf,sao-1337158144)
R(sao6587439252,is,Class)
R(sao6587439252,SubClassOf,sao1894609662)
R(sao661522542,is,Class)
R(sao661522542,SubClassOf,sao1499850686)
R(sao666410040,is,Class)
R(sao666410040,SubClassOf,sao628508602)
R(sao671419673,is,Class)
R(sao671419673,SubClassOf,sao1974433376)
R(sao685712019,is,Class)
R(sao685712019,SubClassOf,sao895885284)
R(sao685712019,DisjointWith,sao831502550)
R(sao685712019,DisjointWith,sao195217619)
R(sao685712019,DisjointWith,sao1253297813)
R(sao694815499,is,Class)
R(sao694815499,SubClassOf,sao1683772610)
R(sao700839054,is,Class)
R(sao700839054,SubClassOf,sao1395777368)
R(sao700839054,DisjointWith,sao914572699)
R(sao725931194,is,Class)
R(sao725931194,SubClassOf,sao414196390)
R(sao730872736,is,Class)
R(sao730872736,SubClassOf,sao-1337158144)
R(sao730872736,DisjointWith,sao830981606)
R(sao730872736,DisjointWith,sao787716553)
R(sao730872736,DisjointWith,sao628508602)
R(sao730872736,DisjointWith,sao221389602)
R(sao730872736,DisjointWith,sao1969557946)
R(sao730872736,DisjointWith,sao1938587839)
R(sao730872736,DisjointWith,sao1784069613)
R(sao730872736,DisjointWith,sao1663586795)
R(sao730872736,DisjointWith,sao1635329413)
R(sao730872736,DisjointWith,sao1539965131)
R(sao730872736,DisjointWith,sao1397492660)
R(sao730872736,DisjointWith,sao120573470)
R(sao730872736,DisjointWith,sao11978067)
R(sao730872736,DisjointWith,sao1081228141)
R(sao730872736,DisjointWith,sao101633890)
R(sao732341560,is,Class)
R(sao732341560,SubClassOf,sao508165343)
R(sao732341560,DisjointWith,sao205380252)
R(sao732341560,DisjointWith,sao1395777368)
R(sao787716553,is,Class)
R(sao787716553,SubClassOf,sao-1337158144)
R(sao787716553,DisjointWith,sao830981606)
R(sao787716553,DisjointWith,sao730872736)
R(sao787716553,DisjointWith,sao628508602)
R(sao787716553,DisjointWith,sao221389602)
R(sao787716553,DisjointWith,sao1969557946)
R(sao787716553,DisjointWith,sao1938587839)
R(sao787716553,DisjointWith,sao1784069613)
R(sao787716553,DisjointWith,sao1663586795)
R(sao787716553,DisjointWith,sao1635329413)
R(sao787716553,DisjointWith,sao1539965131)
R(sao787716553,DisjointWith,sao1397492660)
R(sao787716553,DisjointWith,sao120573470)
R(sao787716553,DisjointWith,sao11978067)
R(sao787716553,DisjointWith,sao1081228141)
R(sao787716553,DisjointWith,sao101633890)
R(sao793088923,is,Class)
R(sao793088923,SubClassOf,nlx_subcell_100315)
R(sao819927218,is,Class)
R(sao819927218,SubClassOf,sao624292949)
R(sao830092290,is,Class)
R(sao830092290,SubClassOf,sao340271629,)
R(proper_part_of some sao1770195789,,is,www.obofoundry.org/ro/ro.#)
R(proper_part_of only nlx_subcell_20090202,is,www.obofoundry.org/ro/ro.#)
R(proper_part_of only nlx_subcell_20090202,DisjointWith,sao936144858)
R(proper_part_of only nlx_subcell_20090202,DisjointWith,sao1191319089)
R(proper_part_of only nlx_subcell_20090202,DisjointWith,sao-188049490)
R(sao830981606,is,Class)
R(sao830981606,SubClassOf,sao6433132645)
R(sao830981606,DisjointWith,sao787716553)
R(sao830981606,DisjointWith,sao730872736)
R(sao830981606,DisjointWith,sao628508602)
R(sao830981606,DisjointWith,sao221389602)
R(sao830981606,DisjointWith,sao1969557946)
R(sao830981606,DisjointWith,sao1938587839)
R(sao830981606,DisjointWith,sao1784069613)
R(sao830981606,DisjointWith,sao1663586795)
R(sao830981606,DisjointWith,sao1635329413)
R(sao830981606,DisjointWith,sao1539965131)
R(sao830981606,DisjointWith,sao1397492660)
R(sao830981606,DisjointWith,sao120573470)
R(sao830981606,DisjointWith,sao11978067)
R(sao830981606,DisjointWith,sao1081228141)
R(sao830981606,DisjointWith,sao101633890)
R(sao831502550,is,Class)
R(sao831502550,SubClassOf,sao895885284)
R(sao831502550,DisjointWith,sao685712019)
R(sao831502550,DisjointWith,sao195217619)
R(sao831502550,DisjointWith,sao1253297813)
R(sao864921383,is,Class)
R(sao864921383,DisjointWith,sao895885284)
R(sao864921383,DisjointWith,sao-82111036)
R(sao864921383,DisjointWith,sao-1828894864)
R(sao866168499,is,Class)
R(sao866168499,SubClassOf,sao864921383)
R(sao866168499,DisjointWith,sao1049717962)
R(sao866168499,DisjointWith,sao1044911821)
R(sao866168499,DisjointWith,sao-867568886)
R(sao866168499,DisjointWith,sao-420949334)
R(sao866168499,DisjointWith,sao-250931889)
R(sao8663416959,is,Class)
R(sao8663416959,SubClassOf,sao221389602)
R(sao873654461,is,Class)
R(sao873654461,SubClassOf,sao508165343)
R(sao877341397,is,Class)
R(sao877341397,SubClassOf,sao895885284)
R(sao877341397,DisjointWith,sao1974433376)
R(sao885490876,is,Class)
R(sao885490876,SubClassOf,sao180601769)
R(sao895885284,is,Class)
R(sao895885284,SubClassOf,sao340271629)
R(sao895885284,DisjointWith,sao864921383)
R(sao895885284,DisjointWith,sao-82111036)
R(sao895885284,DisjointWith,sao-1828894864)
R(sao901230115,is,Class)
R(sao901230115,SubClassOf,sao877341397)
R(sao9117790637,is,Class)
R(sao9117790637,SubClassOf,nlx_subcell_100315)
R(sao9137852997,is,Class)
R(sao9137852997,SubClassOf,sao9117790637)
R(sao914572699,is,Class)
R(sao914572699,SubClassOf,sao1395777368)
R(sao914572699,DisjointWith,sao700839054)
R(sao924713546,is,Class)
R(sao924713546,SubClassOf,sao195217619)
R(sao936144858,is,Class)
R(sao936144858,SubClassOf,sao340271629,)
R(proper_part_of some sao1770195789,is,www.obofoundry.org/ro/ro.#)
R(proper_part_of some sao1770195789,DisjointWith,sao830092290)
R(proper_part_of some sao1770195789,DisjointWith,sao1191319089)
R(proper_part_of some sao1770195789,DisjointWith,sao-188049490)
R(sao937871668,is,Class)
R(sao937871668,SubClassOf,sao195217619)
R(sao9456487,is,Class)
R(sao9456487,SubClassOf,sao1546288504)
R(sao9456487,DisjointWith,sao632188024)
R(sao9456487,DisjointWith,sao138219748)
R(sao9456487,DisjointWith,sao1039242387)
R(sao95019936,is,Class)
R(sao95019936,SubClassOf,sao1456184038)
R(sao9515821206,is,Class)
R(sao9515821206,SubClassOf,sao9137852997)
R(sao952483289,is,Class)
R(sao952483289,SubClassOf,sao1635329413)
R(sao952483289,DisjointWith,sao2006047981)
R(sao952483289,DisjointWith,sao1846835077)
R(sao952643730,is,Class)
R(sao952643730,SubClassOf,sao866168499)
R(sao9615155060,is,Class)
R(sao9615155060,SubClassOf,sao9137852997)
R(sao967812059,is,Class)
R(sao967812059,SubClassOf,sao120573470)
R(sao978443756,is,Class)
R(sao978443756,SubClassOf,sao830981606)
R(sao991156472,is,Class)
R(sao991156472,DisjointWith,sao508165343)
R(sao991156472,DisjointWith,sao1970895398)
R(MaterialEntity,is,Class)
R(www.w3.org/2002/07/#,is,Class)
